genea1	chr	chrom	DE	a1expmean	a2expmean	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_MC02g03853	aAutosome	aAutosome	NON	7.22714	7.06079	0.83557	0.11797	66.87328	219.89664	0.0124948	MvSl-1064-A2-R4_MC02g04131	0.83558	0.11835	66.87336	331.20454	0.012495	-1E-05	-8E-05	-2E-07
MvSl-1064-A1-R4_MC02g03855	aAutosome	aAutosome	NON	1.51939	1.82769	0.00726	0.00343	0.00228	0.00108	3.18407	MvSl-1064-A2-R4_MC02g04133	0.00724	0.00341	0.00234	0.0011	3.09388	2E-05	-6E-05	0.09019
MvSl-1064-A1-R4_MC02g03858	aAutosome	aAutosome	NON	3.87654	4.14232	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04136	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03865	aAutosome	aAutosome	NON	5.15208	5.25828	1.12449	0.17369	54.1836	83.25296	0.0207533	MvSl-1064-A2-R4_MC02g04143	1.12694	0.17448	54.16528	102.52905	0.0208056	-0.00245	0.01832	-5.23E-05
MvSl-1064-A1-R4_MC02g03866	aAutosome	aAutosome	NON	5.97206	5.84743	0.75041	0.11488	1.70517	0.73304	0.440079	MvSl-1064-A2-R4_MC02g04144	0.9731	0.16351	0.90366	0.26907	1.07684	-0.22269	0.80151	-0.636761
MvSl-1064-A1-R4_MC02g03867	aAutosome	aAutosome	NON	7.63382	7.3327	0	0.00004	0.00001	0	0	MvSl-1064-A2-R4_MC02g04145	0	0.00047	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03868	aAutosome	aAutosome	NON	7.46952	7.29483	0.00077	0.00077	0.00695	0.00403	0.11079	MvSl-1064-A2-R4_MC02g04146	0.00077	0.00038	0.00695	0.0035	0.11079	0	0	0
MvSl-1064-A1-R4_MC02g03870	aAutosome	aAutosome	NON	6.56599	6.37066	0.00644	0.00227	0.00469	0.00322	1.37311	MvSl-1064-A2-R4_MC02g04148	0.00644	0.00226	0.00469	0.0032	1.37311	0	0	0
MvSl-1064-A1-R4_MC02g03875	aAutosome	aAutosome	NON	4.00382	3.99956	0.00253	0.00179	0.00003	0.00008	84.0532	MvSl-1064-A2-R4_MC02g04153	0.00253	0.00179	0.00003	0.00009	84.0532	0	0	0
MvSl-1064-A1-R4_MC02g03876	aAutosome	aAutosome	NON	2.61959	2.59761	0	0.01035	0.00001	0.02662	0	MvSl-1064-A2-R4_MC02g04154	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03877	aAutosome	aAutosome	NON	5.35721	5.54234	0.00464	0.00465	0.00005	0.00018	92.6148	MvSl-1064-A2-R4_MC02g04155	0.00464	0.00465	0.00005	0.00018	92.6148	0	0	0
MvSl-1064-A1-R4_MC02g03879	aAutosome	aAutosome	NON	7.78847	7.91964	0.00075	0.00075	0.00001	0	74.2574	MvSl-1064-A2-R4_MC02g04157	0.00075	0.00075	0.00001	0	74.2574	0	0	0
MvSl-1064-A1-R4_MC02g03883	aAutosome	aAutosome	NON	0.46785	1.05139	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04161	0	0.00004	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03884	aAutosome	aAutosome	NON	6.96644	6.95336	0.00359	0.00208	0.00662	0.00473	0.542288	MvSl-1064-A2-R4_MC02g04162	0.00359	0.00207	0.00662	0.0047	0.542288	0	0	0
MvSl-1064-A1-R4_MC02g03890	aAutosome	aAutosome	NON	5.01807	5.66266	0.00382	0.0027	0.00004	0.00014	95.2618	MvSl-1064-A2-R4_MC02g04168	0.00382	0.0027	0.00004	0	95.2618	0	0	0
MvSl-1064-A1-R4_MC02g03891	aAutosome	aAutosome	Down	5.00567	6.84522	0.00687	0.00399	0.0125	0.00893	0.549596	MvSl-1064-A2-R4_MC02g04169	0.00687	0.00399	0.0125	0.00893	0.549596	0	0	0
MvSl-1064-A1-R4_MC02g03896	aAutosome	aAutosome	NON	4.31166	4.09671	0	0.00376	0.00001	0.00861	0	MvSl-1064-A2-R4_MC02g04174	0	0.00277	0.00001	0.00646	0	0	0	0
MvSl-1064-A1-R4_MC02g03897	aAutosome	aAutosome	NON	7.01414	6.85599	0.00672	0.00337	0.01995	0.01002	0.33684	MvSl-1064-A2-R4_MC02g04175	0.00672	0.00329	0.01995	0.00978	0.33684	0	0	0
MvSl-1064-A1-R4_MC02g03898	aAutosome	aAutosome	NON	4.02428	4.31782	0.00333	0.00333	0.00003	0	110.631	MvSl-1064-A2-R4_MC02g04176	0.00333	0.00334	0.00003	0.00032	110.631	0	0	0
MvSl-1064-A1-R4_MC02g03899	aAutosome	aAutosome	NON	6.37355	6.69927	0.00235	0.00166	0.00002	0.00002	116.915	MvSl-1064-A2-R4_MC02g04177	0.00235	0.00166	0.00002	0.00002	116.915	0	0	0
MvSl-1064-A1-R4_MC02g03900	aAutosome	aAutosome	NON	7.56012	7.23959	0.00075	0.00074	0.00219	0.00216	0.34245	MvSl-1064-A2-R4_MC02g04178	0.00075	0.00075	0.00219	0.00217	0.34245	0	0	0
MvSl-1064-A1-R4_MC02g03902	aAutosome	aAutosome	NON	5.62659	5.60961	0.00128	0.00091	0.00001	0.00004	126.733	MvSl-1064-A2-R4_MC02g04180	0.00128	0.00091	0.00001	0	126.733	0	0	0
MvSl-1064-A1-R4_MC02g03903	aAutosome	aAutosome	NON	5.47139	5.59108	0.00137	0.00134	0.00501	0.00487	0.273448	MvSl-1064-A2-R4_MC02g04181	0.00137	0.00132	0.00501	0.00479	0.273448	0	0	0
MvSl-1064-A1-R4_MC02g03904	aAutosome	aAutosome	NON	5.40624	5.53855	0	0.00019	0.00002	0.00105	0	MvSl-1064-A2-R4_MC02g04182	0	0	0.00002	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03905	aAutosome	aAutosome	NON	8.66441	8.59163	0.10193	0.0321	0.40162	0.14549	0.253797	MvSl-1064-A2-R4_MC02g04183	0.10193	0.03207	0.40162	0.14531	0.253797	0	0	0
MvSl-1064-A1-R4_MC02g03906	aAutosome	aAutosome	NON	6.51459	6.71957	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04184	0	0.00006	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03907	aAutosome	aAutosome	NON	2.84566	3.19017	0.74274	0.11103	1.36174	0.48719	0.545434	MvSl-1064-A2-R4_MC02g04185	0.74274	0.11102	1.36174	0.48674	0.545434	0	0	0
MvSl-1064-A1-R4_MC02g03908	aAutosome	aAutosome	NON	4.38512	4.36743	0.65016	0.08238	70.80941	171.63179	0.00918183	MvSl-1064-A2-R4_MC02g04186	0.65029	0.08239	70.82163	165.43079	0.00918208	-0.00013	-0.01222	-2.5E-07
MvSl-1064-A1-R4_MC02g03909	aAutosome	aAutosome	NON	7.98613	7.79596	0.00147	0.00147	0.00001	0.0001	145.545	MvSl-1064-A2-R4_MC02g04187	0.00147	0.00147	0.00001	0	145.545	0	0	0
MvSl-1064-A1-R4_MC02g03910	aAutosome	aAutosome	NON	6.76646	6.82473	0.00117	0.00117	0.00001	0.00004	115.842	MvSl-1064-A2-R4_MC02g04188	0.00117	0.00117	0.00001	0.00004	115.842	0	0	0
MvSl-1064-A1-R4_MC02g03911	aAutosome	aAutosome	NON	5.54294	5.1465	0	0	0.00455	0.00049	0	MvSl-1064-A2-R4_MC02g04189	0	0	0.00455	0.00064	0	0	0	0
MvSl-1064-A1-R4_MC02g03912	aAutosome	aAutosome	NON	6.32287	6.25053	0.09147	0.02157	0.2115	0.06469	0.432482	MvSl-1064-A2-R4_MC02g04190	0.09147	0.02161	0.2115	0.06481	0.432482	0	0	0
MvSl-1064-A1-R4_MC02g03913	aAutosome	aAutosome	NON	5.52757	5.69106	0.00001	0	0.00994	0.00132	0.00100603	MvSl-1064-A2-R4_MC02g04191	0.00001	0	0.00994	0.00142	0.00100603	0	0	0
MvSl-1064-A1-R4_MC02g03915	aAutosome	aAutosome	NON	2.92053	3.81623	0.00284	0.00285	0.00003	0	94.3522	MvSl-1064-A2-R4_MC02g04193	0.00284	0.00285	0.00003	0	94.3522	0	0	0
MvSl-1064-A1-R4_MC02g03916	aAutosome	aAutosome	NON	8.13128	8.07785	1.25131	0.2182	2.43837	1.34149	0.513175	MvSl-1064-A2-R4_MC02g04194	1.25131	0.21811	2.43837	1.33628	0.513175	0	0	0
MvSl-1064-A1-R4_MC02g03917	aAutosome	aAutosome	NON	5.87749	5.77494	0	0.00003	0.00001	0.0001	0	MvSl-1064-A2-R4_MC02g04195	0	0.00467	0.00001	0.00949	0	0	0	0
MvSl-1064-A1-R4_MC02g03918	aAutosome	aAutosome	NON	6.83728	6.71224	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04196	0	0.00199	0.00001	0.00535	0	0	0	0
MvSl-1064-A1-R4_MC02g03919	aAutosome	aAutosome	NON	6.9984	6.77315	0.00004	0	0.0355	0.0047	0.00112676	MvSl-1064-A2-R4_MC02g04197	0.00001	0	0.00925	0.00039	0.00108107	0.00003	0.02625	4.569E-05
MvSl-1064-A1-R4_MC02g03920	aAutosome	aAutosome	NON	6.85676	6.71261	0.70355	0.10189	1.41472	0.41589	0.497307	MvSl-1064-A2-R4_MC02g04198	0.70355	0.10191	1.41472	0.41569	0.497307	0	0	0
MvSl-1064-A1-R4_MC02g03921	aAutosome	aAutosome	NON	4.36955	4.42905	0.00784	0.00454	0.02178	0.01333	0.359962	MvSl-1064-A2-R4_MC02g04199	0.00784	0.00455	0.02178	0.01335	0.359962	0	0	0
MvSl-1064-A1-R4_MC02g03922	aAutosome	aAutosome	Down	3.53242	4.84187	0.00002	0	0.01574	0.00375	0.00127064	MvSl-1064-A2-R4_MC02g04200	0.00002	0	0.01574	0.00376	0.00127064	0	0	0
MvSl-1064-A1-R4_MC02g03923	aAutosome	aAutosome	NON	7.55731	7.72369	0.00573	0.00214	0.00184	0.00168	3.11396	MvSl-1064-A2-R4_MC02g04201	0.00573	0.00216	0.00184	0.00178	3.11396	0	0	0
MvSl-1064-A1-R4_MC02g03926	aAutosome	aAutosome	NON	7.10104	6.95405	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04204	0	0.00001	0.00002	0	0	0	-0.00001	0
MvSl-1064-A1-R4_MC02g03927	aAutosome	aAutosome	NON	0.0161313	0.571699	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04205	0	0	0	0	0	0	0.00001	0
MvSl-1064-A1-R4_MC02g03928	aAutosome	aAutosome	NON	2.90605	2.69874	0.00343	0.00245	0.00409	0.00417	0.83861	MvSl-1064-A2-R4_MC02g04206	0.00343	0.00242	0.00409	0.00407	0.83861	0	0	0
MvSl-1064-A1-R4_MC02g03929	aAutosome	aAutosome	NON	5.98948	5.89397	0	0	0.00223	0	0	MvSl-1064-A2-R4_MC02g04207	0	0	0.00223	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03931	aAutosome	aAutosome	NON	5.93299	5.79326	0	0.00328	0.00001	0.00885	0	MvSl-1064-A2-R4_MC02g04209	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03932	aAutosome	aAutosome	NON	4.11328	4.22216	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04210	0	0.00003	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03933	aAutosome	aAutosome	NON	8.41182	8.36384	0.64909	0.09408	7.71979	5.85818	0.0840813	MvSl-1064-A2-R4_MC02g04211	0.6491	0.09393	7.71986	5.92476	0.0840818	-1E-05	-7E-05	-5E-07
MvSl-1064-A1-R4_MC02g03935	aAutosome	aAutosome	NON	5.54408	5.65985	0.00534	0.00379	0.00005	0.00001	106.587	MvSl-1064-A2-R4_MC02g04213	0.00534	0.00379	0.00005	0.00003	106.587	0	0	0
MvSl-1064-A1-R4_MC02g03936	aAutosome	aAutosome	NON	5.83378	5.66985	0.99774	0.17482	1.07228	0.34908	0.930484	MvSl-1064-A2-R4_MC02g04214	0.99774	0.17476	1.07228	0.34929	0.930484	0	0	0
MvSl-1064-A1-R4_MC02g03937	aAutosome	aAutosome	NON	7.12363	7.22377	0.00001	0	0.00716	0	0.00139663	MvSl-1064-A2-R4_MC02g04215	0.00001	0	0.00715	0	0.00139858	0	1E-05	-1.95E-06
MvSl-1064-A1-R4_MC02g03938	aAutosome	aAutosome	NON	0.654785	0.842257	0	0.00188	0.00001	0	0	MvSl-1064-A2-R4_MC02g04216	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03944	aAutosome	aAutosome	NON	6.12542	6.26249	0.74542	0.09368	66.34568	93.10783	0.0112354	MvSl-1064-A2-R4_MC02g04222	0.7454	0.0939	66.34574	92.08205	0.0112351	2E-05	-6E-05	3E-07
MvSl-1064-A1-R4_MC02g03945	aAutosome	aAutosome	NON	5.36317	5.29683	0.00379	0.00261	0.00388	0.00367	0.976779	MvSl-1064-A2-R4_MC02g04223	0.00379	0.00269	0.00388	0.00389	0.976779	0	0	0
MvSl-1064-A1-R4_MC02g03951	aAutosome	aAutosome	NON	6.20996	6.10621	0.01562	0.00729	0.03469	0.02089	0.450273	MvSl-1064-A2-R4_MC02g04229	0.01562	0.00735	0.03469	0.02112	0.450273	0	0	0
MvSl-1064-A1-R4_MC02g03953	aAutosome	aAutosome	NON	4.47016	4.72644	0.0018	0.00081	0.00223	0.00159	0.807139	MvSl-1064-A2-R4_MC02g04231	0.0018	0.00078	0.00223	0.00146	0.807139	0	0	0
MvSl-1064-A1-R4_MC02g03954	aAutosome	aAutosome	NON	6.01594	5.81646	0.00261	0.00262	0.00003	0.00008	86.711	MvSl-1064-A2-R4_MC02g04232	0.00261	0.00262	0.00003	0.00008	86.711	0	0	0
MvSl-1064-A1-R4_MC02g03955	aAutosome	aAutosome	NON	6.98985	7.07716	0	0.00003	0.00001	0	0	MvSl-1064-A2-R4_MC02g04233	0.00406	0.00287	0.00224	0.00149	1.81242	-0.00406	-0.00223	-1.81242
MvSl-1064-A1-R4_MC02g03957	aAutosome	aAutosome	NON	3.70779	3.45946	0	0	0.00252	0.00018	0	MvSl-1064-A2-R4_MC02g04235	0	0	0.00252	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03958	aAutosome	aAutosome	NON	4.82982	4.87749	0	0.00488	0.00001	0.01149	0	MvSl-1064-A2-R4_MC02g04236	0.00394	0.00018	0.00004	0.00034	98.2544	-0.00394	-0.00003	-98.2544
MvSl-1064-A1-R4_MC02g03959	aAutosome	aAutosome	NON	4.0974	4.00331	0	0	0	0	0	MvSl-1064-A2-R4_MC02g04237	0	0	0.00001	0.00269	0	0	-0.00001	0
MvSl-1064-A1-R4_MC02g03960	aAutosome	aAutosome	NON	6.95674	6.91277	0	0.0001	0.00002	0	0	MvSl-1064-A2-R4_MC02g04238	0	0.0001	0.00002	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03961	aAutosome	aAutosome	NON	6.16935	5.9077	0.00604	0.00606	0.00006	0.00028	100.499	MvSl-1064-A2-R4_MC02g04239	0.00604	0.00607	0.00006	0.00038	100.499	0	0	0
MvSl-1064-A1-R4_MC02g03962	aAutosome	aAutosome	NON	5.89675	5.73317	0.00444	0.00229	0.0088	0.0057	0.50454	MvSl-1064-A2-R4_MC02g04240	0.00444	0.00233	0.0088	0.00594	0.50454	0	0	0
MvSl-1064-A1-R4_MC02g03963	aAutosome	aAutosome	NON	4.86491	4.83149	0.00001	0	0.00581	0.00019	0.00172114	MvSl-1064-A2-R4_MC02g04241	0.00001	0	0.00581	0	0.00172114	0	0	0
MvSl-1064-A1-R4_MC02g03964	aAutosome	aAutosome	NON	4.47966	4.72489	0.01426	0.00419	0.02823	0.00899	0.505135	MvSl-1064-A2-R4_MC02g04242	0	0	0.00001	0	0	0.01426	0.02822	0.505135
MvSl-1064-A1-R4_MC02g03965	aAutosome	aAutosome	NON	6.15595	6.20459	0.00003	0	0.02627	0.00195	0.00114198	MvSl-1064-A2-R4_MC02g04243	0.00003	0	0.02627	0.00194	0.00114198	0	0	0
MvSl-1064-A1-R4_MC02g03970	aAutosome	aAutosome	NON	4.98685	5.27113	0.00109	0.00076	0.00179	0.00171	0.608905	MvSl-1064-A2-R4_MC02g04248	0.00109	0.00078	0.00179	0.0018	0.608905	0	0	0
MvSl-1064-A1-R4_MC02g03971	aAutosome	aAutosome	NON	5.17925	5.16401	0.00118	0.00118	0.00001	0.00001	116.832	MvSl-1064-A2-R4_MC02g04249	0.00109	0.00109	0.00001	0	107.921	0.00009	0	8.911
MvSl-1064-A1-R4_MC02g03972	aAutosome	aAutosome	NON	6.69758	6.51262	0	0.00825	0.00001	0.01725	0	MvSl-1064-A2-R4_MC02g04250	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03973	aAutosome	aAutosome	NON	5.48828	6.16017	0.0009	0.0009	0.00437	0.00311	0.205945	MvSl-1064-A2-R4_MC02g04251	0.0009	0.00089	0.00437	0.00308	0.205945	0	0	0
MvSl-1064-A1-R4_MC02g03974	aAutosome	aAutosome	NON	6.13394	6.46531	0.00001	0	0.0074	0.00012	0.00135133	MvSl-1064-A2-R4_MC02g04252	0.00001	0	0.0074	0	0.00135133	0	0	0
MvSl-1064-A1-R4_MC02g03976	aAutosome	aAutosome	NON	4.90202	5.13252	0.00001	0	0.00722	0.00054	0.00138502	MvSl-1064-A2-R4_MC02g04254	0.00001	0	0.00722	0.00063	0.00138502	0	0	0
MvSl-1064-A1-R4_MC02g03977	aAutosome	aAutosome	NON	2.77159	3.99164	0.00285	0.0028	0.00891	0.00872	0.319862	MvSl-1064-A2-R4_MC02g04255	0.00285	0.00279	0.00891	0.0087	0.319862	0	0	0
MvSl-1064-A1-R4_MC02g03978	aAutosome	aAutosome	NON	3.24749	3.65082	0.0034	0.00331	0.00003	0	112.957	MvSl-1064-A2-R4_MC02g04256	0.0034	0.00341	0.00003	0	112.957	0	0	0
MvSl-1064-A1-R4_MC02g03979	aAutosome	aAutosome	NON	9.76841	9.60438	0.00002	0	0.01659	0	0.00120554	MvSl-1064-A2-R4_MC02g04257	0.00002	0	0.01659	0	0.00120554	0	0	0
MvSl-1064-A1-R4_MC02g03980	aAutosome	aAutosome	NON	5.44884	5.50914	0.00604	0.00248	0.00819	0.00295	0.737476	MvSl-1064-A2-R4_MC02g04258	0.00604	0.00282	0.00819	0.00401	0.737476	0	0	0
MvSl-1064-A1-R4_MC02g03981	aAutosome	aAutosome	NON	5.1743	5.27917	0.00001	0	0.01235	0.00053	0.00080971	MvSl-1064-A2-R4_MC02g04259	0.00001	0.00001	0.01235	0.0088	0.00080971	0	0	0
MvSl-1064-A1-R4_MC02g03982	aAutosome	aAutosome	NON	2.70668	2.90473	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04260	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03984	aAutosome	aAutosome	NON	4.69503	4.93669	0.00291	0.00292	0.00717	0.0072	0.405852	MvSl-1064-A2-R4_MC02g04262	0.00291	0.00291	0.00717	0.00719	0.405852	0	0	0
MvSl-1064-A1-R4_MC02g03985	aAutosome	aAutosome	NON	5.6578	5.44504	0.00147	0.00147	0.00371	0.00372	0.396216	MvSl-1064-A2-R4_MC02g04263	0.00147	0.00147	0.00371	0.00371	0.396216	0	0	0
MvSl-1064-A1-R4_MC02g03986	aAutosome	aAutosome	NON	8.6404	8.66733	0.00109	0.00109	0.0052	0.00525	0.209611	MvSl-1064-A2-R4_MC02g04264	0.00109	0.00109	0.0052	0.00524	0.209611	0	0	0
MvSl-1064-A1-R4_MC02g03987	aAutosome	aAutosome	NON	6.63139	6.46555	0	0	0.00325	0	0	MvSl-1064-A2-R4_MC02g04265	0	0	0.00325	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03988	aAutosome	aAutosome	NON	7.61114	7.59616	0	0	0.00408	0	0	MvSl-1064-A2-R4_MC02g04266	0	0	0.00408	0.00073	0	0	0	0
MvSl-1064-A1-R4_MC02g03989	aAutosome	aAutosome	NON	5.38792	5.22894	0	0	0.00002	0	0	MvSl-1064-A2-R4_MC02g04267	0	0	0.00001	0	0	0	0.00001	0
MvSl-1064-A1-R4_MC02g03991	aAutosome	aAutosome	NON	6.41267	6.21573	0.76457	0.11566	61.15834	68.50727	0.0125015	MvSl-1064-A2-R4_MC02g04269	0.76456	0.11546	61.1584	66.46337	0.0125013	1E-05	-6E-05	2E-07
MvSl-1064-A1-R4_MC02g03992	aAutosome	aAutosome	NON	5.10581	4.44271	0	0.00047	0.00001	0	0	MvSl-1064-A2-R4_MC02g04270	0	0.00003	0.00001	0.0031	0	0	0	0
MvSl-1064-A1-R4_MC02g03993	aAutosome	aAutosome	NON	5.1418	5.29584	0	0.00004	0.00001	0.00972	0	MvSl-1064-A2-R4_MC02g04271	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03994	aAutosome	aAutosome	NON	7.93755	7.96259	0	0	0.00255	0.00256	0	MvSl-1064-A2-R4_MC02g04272	0	0	0.00255	0.0008	0	0	0	0
MvSl-1064-A1-R4_MC02g03995	aAutosome	aAutosome	NON	8.07486	7.92792	0.00985	0.00403	0.0001	0.00004	98.4016	MvSl-1064-A2-R4_MC02g04273	0.00985	0.00403	0.0001	0.00004	98.4016	0	0	0
MvSl-1064-A1-R4_MC02g03997	aAutosome	aAutosome	NON	0.603964	1.83123	0.00276	0.00276	0.00003	0	91.6944	MvSl-1064-A2-R4_MC02g04275	0.00276	0.00276	0.00003	0.00005	91.6944	0	0	0
MvSl-1064-A1-R4_MC02g04000	aAutosome	aAutosome	NON	2.67902	2.68597	0.39921	0.05289	0.64145	0.15101	0.622356	MvSl-1064-A2-R4_MC02g04278	0.39921	0.0529	0.64145	0.15119	0.622356	0	0	0
MvSl-1064-A1-R4_MC02g04001	aAutosome	aAutosome	NON	4.02986	4.12976	0.00724	0.00325	0.00007	0.00019	103.281	MvSl-1064-A2-R4_MC02g04279	0.00724	0.00325	0.00007	0.00034	103.281	0	0	0
MvSl-1064-A1-R4_MC02g04004	aAutosome	aAutosome	NON	4.88389	4.89087	0.00935	0.00385	0.00497	0.0024	1.88125	MvSl-1064-A2-R4_MC02g04282	0.00935	0.00386	0.00497	0.00244	1.88125	0	0	0
MvSl-1064-A1-R4_MC02g04005	aAutosome	aAutosome	NON	7.98998	7.67998	0.0021	0.00211	0.00719	0.00726	0.292068	MvSl-1064-A2-R4_MC02g04283	0.0021	0.0021	0.00719	0.00722	0.292068	0	0	0
MvSl-1064-A1-R4_MC02g04006	aAutosome	aAutosome	NON	5.63361	5.48242	0.49552	0.06285	0.78433	0.16834	0.631775	MvSl-1064-A2-R4_MC02g04284	0.49552	0.06285	0.78433	0.16828	0.631775	0	0	0
MvSl-1064-A1-R4_MC02g04008	aAutosome	aAutosome	NON	7.51894	7.68647	0.00117	0.00083	0.00292	0.00206	0.400671	MvSl-1064-A2-R4_MC02g04286	0.00117	0.00083	0.00292	0.00206	0.400671	0	0	0
MvSl-1064-A1-R4_MC02g04009	aAutosome	aAutosome	NON	2.89861	3.16435	0.00001	0	0.00683	0.00061	0.00146411	MvSl-1064-A2-R4_MC02g04287	0	0	0.00001	0	0	0.00001	0.00682	0.00146411
MvSl-1064-A1-R4_MC02g04010	aAutosome	aAutosome	NON	1.47635	1.9492	0.01052	0.00609	0.00011	0.00007	95.5495	MvSl-1064-A2-R4_MC02g04288	0.01052	0.00609	0.00011	0.00006	95.5495	0	0	0
MvSl-1064-A1-R4_MC02g04011	aAutosome	aAutosome	NON	6.24622	6.267	0.00341	0.00151	0.00246	0.0017	1.38612	MvSl-1064-A2-R4_MC02g04289	0.00341	0.00151	0.00247	0.00168	1.38051	0	-0.00001	0.00561
MvSl-1064-A1-R4_MC02g04012	aAutosome	aAutosome	NON	4.78843	4.63156	0.00455	0.00457	0.00005	0.00012	90.8184	MvSl-1064-A2-R4_MC02g04290	0.00455	0.00457	0.00005	0.00008	90.8184	0	0	0
MvSl-1064-A1-R4_MC02g04013	aAutosome	aAutosome	NON	6.19697	6.51181	0.00251	0.0025	0.00497	0.00496	0.50502	MvSl-1064-A2-R4_MC02g04291	0.00251	0.00251	0.00497	0.00499	0.50502	0	0	0
MvSl-1064-A1-R4_MC02g04016	aAutosome	aAutosome	NON	4.05964	4.37745	0.00415	0.00417	0.0084	0.00848	0.494042	MvSl-1064-A2-R4_MC02g04294	0.00415	0.00416	0.0084	0.00844	0.494042	0	0	0
MvSl-1064-A1-R4_MC02g04017	aAutosome	aAutosome	NON	1.4601	1.12529	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04295	0	0.00004	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04018	aAutosome	aAutosome	NON	6.89951	7.07224	0.31242	0.03745	0.72517	0.12898	0.430823	MvSl-1064-A2-R4_MC02g04296	0.31242	0.03747	0.72517	0.12915	0.430823	0	0	0
MvSl-1064-A1-R4_MC02g04019	aAutosome	aAutosome	NON	5.62294	5.69858	0	0.00014	0.00002	0.00055	0	MvSl-1064-A2-R4_MC02g04297	0	0.00004	0.00002	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04021	aAutosome	aAutosome	NON	5.49473	5.36231	0.00316	0.00215	0.01561	0.00762	0.202433	MvSl-1064-A2-R4_MC02g04299	0.00316	0.00167	0.01561	0.00647	0.202433	0	0	0
MvSl-1064-A1-R4_MC02g04022	aAutosome	aAutosome	NON	2.93304	2.91933	0	0.00006	0.00001	0	0	MvSl-1064-A2-R4_MC02g04300	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04026	aAutosome	aAutosome	NON	5.91432	5.80816	0.00321	0.00141	0.00343	0.00233	0.935833	MvSl-1064-A2-R4_MC02g04304	0.00321	0.00143	0.00343	0.00239	0.935833	0	0	0
MvSl-1064-A1-R4_MC02g04027	aAutosome	aAutosome	NON	6.78572	6.77851	0.00444	0.00315	0.00937	0.00667	0.473848	MvSl-1064-A2-R4_MC02g04305	0.00444	0.00315	0.00937	0.00667	0.473848	0	0	0
MvSl-1064-A1-R4_MC02g04029	aAutosome	aAutosome	NON	5.313	5.33723	0	0	0.00001	0	0	MvSl-1064-A2-R4_MC02g04307	0	0	0.00001	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04030	aAutosome	aAutosome	NON	7.16628	6.85196	0.71703	0.08892	69.68162	173.96358	0.0102901	MvSl-1064-A2-R4_MC02g04308	0.71705	0.08891	69.68138	152.04612	0.0102904	-2E-05	0.00024	-3E-07
MvSl-1064-A1-R4_MC02g04031	aAutosome	aAutosome	NON	7.75377	7.60228	0	0.00004	0.00002	0	0	MvSl-1064-A2-R4_MC02g04309	0	0.06117	0.00001	0.14021	0	0	0.00001	0
MvSl-1064-A1-R4_MC02g04033	aAutosome	aAutosome	NON	6.45876	6.43129	0.00868	0.00498	0.00898	0.00875	0.966582	MvSl-1064-A2-R4_MC02g04311	0.00868	0.00497	0.00898	0.0087	0.966582	0	0	0
MvSl-1064-A1-R4_MC02g04034	aAutosome	aAutosome	NON	6.14392	6.45194	0.00335	0.0015	0.00901	0.00369	0.371805	MvSl-1064-A2-R4_MC02g04312	0.00335	0.0015	0.00901	0.0037	0.371805	0	0	0
MvSl-1064-A1-R4_MC02g04035	aAutosome	aAutosome	NON	6.15408	6.50511	0.0012	0.0012	0.00001	0	118.812	MvSl-1064-A2-R4_MC02g04313	0.0012	0.0012	0.00001	0	118.812	0	0	0
