genea1	chr	chrom	DE	a1expmean	a2expmean	ratio	log2exp	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_MC06g07423	aAutosome	aAutosome	NON	7.41121	7.3117	1.013609694	0.019502227	0.00549	0.00389	0.01367	0.00971	0.401606	MvSl-1064-A2-R4_MC06-2g07688	0.00549	0.00388	0.01367	0.00968	0.401606	0	0	0.999999751
MvSl-1064-A1-R4_MC05-3g06635	aAutosome	aAutosome	NON	5.63695	5.49496	1.025840043	0.036805792	0.00001	0	0.01364	0.00132	0.000733132	MvSl-1064-A2-R4_MC05g06898	0.00001	0	0.01364	0.00089	0.000733132	0	0	0.999863618
MvSl-1064-A1-R4_MC07g07887	aAutosome	aAutosome	NON	2.36846	2.61512	0.90567928	-0.142927842	0.00933	0.00512	0.01362	0.01019	0.685017	MvSl-1064-A2-R4_MC07g08152	0.00933	0.00498	0.01362	0.00966	0.685017	0	0	0.999999854
MvSl-1064-A1-R4_MC04-1g05698	aAutosome	aAutosome	NON	6.78776	6.62139	1.025126144	0.035801448	0.01162	0.00479	0.01357	0.00562	0.856294	MvSl-1064-A2-R4_MC04-1g05974	0.01162	0.00477	0.01357	0.00561	0.856294	0	0	0.999999883
MvSl-1064-A1-R4_MC11g10281	aAutosome	aAutosome	NON	6.45293	6.73168	0.958591317	-0.061012222	0.01703	0.00495	0.01356	0.00394	1.25589	MvSl-1064-A2-R4_MC11g10542	0.01703	0.00491	0.01356	0.00397	1.25589	0	0	0.99999992
MvSl-1064-A1-R4_MC09-2g09174	aAutosome	aAutosome	NON	4.54858	4.71189	0.965340872	-0.050889632	0.00001	0	0.01355	0.00145	0.000738002	MvSl-1064-A2-R4_MC09g09449	0.00001	0	0.01355	0.00097	0.000738002	0	0	0.999864517
MvSl-1064-A1-R4_A1g00036	bPAR	bPAR	NON	5.33338	5.32985	1.000662308	0.000955192	0.00001	0	0.01353	0.00138	0.000739093	MvSl-1064-A2-R4_A2g00036	0.00001	0	0.01353	0.0015	0.000739093	0	0	0.999864717
MvSl-1064-A1-R4_MC03g05226	aAutosome	aAutosome	NON	6.66004	6.37959	1.043960505	0.062067133	0.00504	0.00359	0.01353	0.01406	0.372503	MvSl-1064-A2-R4_MC03g05503	0.00504	0.00359	0.01353	0.01404	0.372503	0	0	0.999999732
MvSl-1064-A1-R4_MC04-2g06102	aAutosome	aAutosome	NON	5.6801	5.70743	0.995211505	-0.006924931	0.00286	0.00286	0.01351	0.00959	0.211693	MvSl-1064-A2-R4_MC04-2g06373	0.00286	0.00286	0.01351	0.00961	0.211693	0	0	0.999999528
MvSl-1064-A1-R4_MC11g10330	aAutosome	aAutosome	NON	4.2272	4.48605	0.942298904	-0.085743329	0.01237	0.00647	0.01351	0.00912	0.915611	MvSl-1064-A2-R4_MC11g10591	0.01237	0.00681	0.01351	0.0114	0.915611	0	0	0.999999891
MvSl-1064-A1-R4_MC06g07341	aAutosome	aAutosome	NON	5.8421	5.56552	1.049695267	0.069970565	0.03757	0.01262	0.0135	0.0049	2.78294	MvSl-1064-A2-R4_MC06-2g07606	0.03757	0.01263	0.0135	0.00467	2.78294	0	0	0.999999964
MvSl-1064-A1-R4_MC16g12183	aAutosome	aAutosome	NON	7.96834	7.62927	1.044443308	0.062734186	0.00192	0.00161	0.01349	0.00742	0.142327	MvSl-1064-A2-R4_MC16g12434	0.00192	0.00156	0.01349	0.00736	0.142327	0	0	0.999999297
MvSl-1064-A1-R4_MC11g10355	aAutosome	aAutosome	NON	6.79662	6.92313	0.981726473	-0.026606975	0.00001	0.00001	0.01348	0.01359	0.000741834	MvSl-1064-A2-R4_MC11g10616	0.00001	0	0.01348	0.00085	0.000741834	0	0	0.999865217
MvSl-1064-A1-R4_MC11g10595	aAutosome	aAutosome	NON	7.13763	7.41934	0.962030315	-0.055845738	0.00301	0.00366	0.01345	0.0107	0.22379	MvSl-1064-A2-R4_MC11g10859	0.00301	0.00301	0.01345	0.00958	0.22379	0	0	0.999999553
MvSl-1064-A1-R4_MC13g11469	aAutosome	aAutosome	NON	5.17925	5.16447	1.002861862	0.004122897	0.00729	0.0033	0.01344	0.0061	0.542407	MvSl-1064-A2-R4_MC13g11730	0.00729	0.00329	0.01344	0.00613	0.542407	0	0	0.999999816
MvSl-1064-A1-R4_MC06g07391	aAutosome	aAutosome	NON	4.80794	4.73509	1.015385135	0.022027045	0.00001	0	0.01341	0	0.000745707	MvSl-1064-A2-R4_MC06-2g07656	0.00001	0.00003	0.01341	0.00951	0.000745707	0	0	0.999865917
MvSl-1064-A1-R4_MC09-2g09204	aAutosome	aAutosome	NON	5.84004	5.81788	1.003808948	0.005484711	0.00001	0	0.0134	0.00196	0.000746263	MvSl-1064-A2-R4_MC09g09479	0.00001	0	0.0134	0.00199	0.000746263	0	0	0.999866017
MvSl-1064-A1-R4_MC01-1g02820	aAutosome	aAutosome	NON	6.00513	5.98227	1.003821292	0.005502452	0.00001	0	0.01339	0.00073	0.00074682	MvSl-1064-A2-R4_MC01g03102	0.00001	0	0.01339	0.00025	0.00074682	0	0	0.999866117
MvSl-1064-A1-R4_MC07g07877	aAutosome	aAutosome	NON	5.50209	5.60228	0.98211621	-0.026034352	0.00132	0.00134	0.01337	0.00959	0.0987278	MvSl-1064-A2-R4_MC07g08142	0.00132	0.00134	0.01337	0.0096	0.0987278	0	0	0.999998987
MvSl-1064-A1-R4_MC01-1g02771	aAutosome	aAutosome	NON	5.18328	5.44206	0.952448154	-0.070287533	0.00363	0.00258	0.01336	0.00954	0.271705	MvSl-1064-A2-R4_MC01g03053	0.00363	0.00258	0.01336	0.00952	0.271705	0	0	0.999999632
MvSl-1064-A1-R4_MC09-2g09249	aAutosome	aAutosome	NON	5.56826	5.22228	1.066250756	0.092546765	0.00436	0.00438	0.01334	0.01347	0.326834	MvSl-1064-A2-R4_MC09g09523	0.00436	0.00435	0.01334	0.01336	0.326834	0	0	0.999999694
MvSl-1064-A1-R4_MC01-1g02242	aAutosome	aAutosome	NON	3.77527	3.57865	1.054942506	0.077164375	0.00163	0.00163	0.01333	0.00774	0.12228	MvSl-1064-A2-R4_MC01g02524	0.00163	0.00163	0.01333	0.00774	0.12228	0	0	0.999999182
MvSl-1064-A1-R4_MC10-1g09850	aAutosome	aAutosome	NON	2.95857	1.88155	1.572411044	0.652978402	0.00441	0.00119	0.01331	0.00359	0.331327	MvSl-1064-A2-R4_MC10g10117	0.00441	0.00119	0.01331	0.00358	0.331327	0	0	0.999999698
MvSl-1064-A1-R4_MC04-1g05846	aAutosome	aAutosome	NON	5.60935	5.58168	1.004957289	0.007134187	0.01463	0.00529	0.03816	0.01421	0.383385	MvSl-1064-A2-R4_MC04-1g06122	0.00706	0.0041	0.01329	0.00949	0.531222	0.00757	0.02487	0.721703785
MvSl-1064-A1-R4_MC06g06935	aAutosome	aAutosome	NON	6.3485	6.38753	0.993889657	-0.008842404	0.00271	0.00186	0.01327	0.00665	0.204219	MvSl-1064-A2-R4_MC06-1g07198	0.00271	0.00171	0.01327	0.00639	0.204219	0	0	0.99999951
MvSl-1064-A1-R4_MC01-1g02238	aAutosome	aAutosome	NON	6.15018	5.8264	1.055571193	0.078023885	0.00519	0.00518	0.01325	0.01328	0.391695	MvSl-1064-A2-R4_MC01g02520	0.00519	0.00518	0.01325	0.01327	0.391695	0	0	0.999999745
MvSl-1064-A1-R4_MC05-3g06589	aAutosome	aAutosome	NON	4.85296	5.05604	0.959834179	-0.059142908	0.00789	0.00457	0.01325	0.00941	0.595467	MvSl-1064-A2-R4_MC05g06852	0.00789	0.00457	0.01325	0.00941	0.595467	0	0	0.999999832
MvSl-1064-A1-R4_MC01-1g02523	aAutosome	aAutosome	NON	7.34419	7.59928	0.966432346	-0.049259353	0.0074	0.00267	0.01323	0.00478	0.559331	MvSl-1064-A2-R4_MC01g02805	0.0074	0.0024	0.01323	0.00429	0.559331	0	0	0.999999821
MvSl-1064-A1-R4_MC04-1g05932	aAutosome	aAutosome	NON	3.41475	3.74798	0.911090774	-0.134333294	0.00001	0	0.01323	0.00152	0.000755852	MvSl-1064-A2-R4_MC04-1g06208	0.00001	0	0.01323	0.00099	0.000755852	0	0	0.999867716
MvSl-1064-A1-R4_MC08g08698	aAutosome	aAutosome	NON	7.13264	6.99358	1.019883951	0.028405002	0.00923	0.00535	0.01321	0.00938	0.698708	MvSl-1064-A2-R4_MC08-1g08963	0.00923	0.00533	0.01321	0.00932	0.698708	0	0	0.999999857
MvSl-1064-A1-R4_MC04-1g05759	aAutosome	aAutosome	NON	3.65146	3.80767	0.958974911	-0.060435023	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g06035	0.00001	0	0.01321	0	0.000756997	-0.00001	-0.01321	0
MvSl-1064-A1-R4_MC02g03623	aAutosome	aAutosome	NON	3.87242	3.82543	1.012283586	0.017613511	0.00001	0	0.0132	0.00063	0.00075757	MvSl-1064-A2-R4_MC02g03901	0.00001	0	0.0132	0.00106	0.00075757	0	0	0.999868016
MvSl-1064-A1-R4_MC15g12118	aAutosome	aAutosome	NON	5.3413	5.47632	0.975344757	-0.036015834	0.00137	0.00137	0.0132	0.00595	0.103787	MvSl-1064-A2-R4_MC15g12367	0.00137	0.00137	0.0132	0.00595	0.103787	0	0	0.999999036
MvSl-1064-A1-R4_MC01-2g03013	aAutosome	aAutosome	NON	-0.70633	0.408264	-1.730081516	0.790840015	0.00439	0.0021	0.01313	0.00576	0.334346	MvSl-1064-A2-R4_MC01g03295	0.0044	0.00207	0.01319	0.00573	0.333584	-1.00E-05	-6.00E-05	1.002283982
MvSl-1064-A1-R4_MC02g03293	aAutosome	aAutosome	NON	6.70067	6.75845	0.991450702	-0.012387055	0.00001	0	0.01318	0.00048	0.00075872	MvSl-1064-A2-R4_MC02g03573	0.00001	0	0.01318	0	0.00075872	0	0	0.999868216
MvSl-1064-A1-R4_MC01-1g02528	aAutosome	aAutosome	NON	7.39187	7.38598	1.000797457	0.001150028	0.00001	0	0.01317	0	0.000759296	MvSl-1064-A2-R4_MC01g02810	0.00001	0	0.01317	0	0.000759296	0	0	0.999868316
MvSl-1064-A1-R4_MC09-2g09126	aAutosome	aAutosome	NON	8.10326	8.20336	0.987797683	-0.01771251	0.00001	0	0.01316	0.00074	0.000759873	MvSl-1064-A2-R4_MC09g09401	0.00001	0	0.01316	0.00195	0.000759873	0	0	0.999868416
MvSl-1064-A1-R4_MC11g10738	aAutosome	aAutosome	NON	-1.75735	0.660394	-2.661062941	1.412002634	0.00229	0.00109	0.01316	0.00377	0.174011	MvSl-1064-A2-R4_MC11g11003	0.00229	0.00073	0.01316	0.00311	0.174011	0	0	0.999999425
MvSl-1064-A1-R4_MC07g08175	aAutosome	aAutosome	NON	2.84006	3.43576	0.826617692	-0.274707854	0.00458	0.00459	0.01315	0.01325	0.348286	MvSl-1064-A2-R4_MC07g08440	0.00458	0.0046	0.01315	0.01329	0.348286	0	0	0.999999713
MvSl-1064-A1-R4_MC15g12018	aAutosome	aAutosome	NON	8.37137	8.55599	0.978422135	-0.031471053	0.0112	0.00502	0.01315	0.00932	0.851705	MvSl-1064-A2-R4_MC15g12267	0.0112	0.00502	0.01315	0.00931	0.851705	0	0	0.999999883
MvSl-1064-A1-R4_MC03g04610	aAutosome	aAutosome	NON	8.57276	8.70576	0.984722758	-0.022210494	0.00001	0	0.01314	0.0009	0.000761029	MvSl-1064-A2-R4_MC03g04888	0.00001	0	0.01314	0.00117	0.000761029	0	0	0.999868616
MvSl-1064-A1-R4_MC08g08276	aAutosome	aAutosome	NON	5.22339	5.23855	0.997106069	-0.004181112	0.00001	0	0.01316	0	0.000759873	MvSl-1064-A2-R4_MC08-1g08541	0.00001	0	0.01313	0	0.000761609	0	3.00E-05	0.997589631
MvSl-1064-A1-R4_MC11g10521	aAutosome	aAutosome	NON	9.56707	9.31153	1.027443395	0.039058914	0.00001	0	0.01311	0.0005	0.000762771	MvSl-1064-A2-R4_MC11g10783	0.00001	0	0.01311	0.00045	0.000762771	0	0	0.999868916
MvSl-1064-A1-R4_MC08g08520	aAutosome	aAutosome	NON	7.03345	6.75008	1.041980243	0.059327923	0.01089	0.00286	0.01308	0.00343	0.832562	MvSl-1064-A2-R4_MC08-1g08785	0.01089	0.00295	0.01308	0.00354	0.832562	0	0	0.99999988
MvSl-1064-A1-R4_MC08g08622	aAutosome	aAutosome	NON	5.38981	5.37432	1.002882225	0.004152191	0.00001	0	0.01306	0.00082	0.000765691	MvSl-1064-A2-R4_MC08-1g08887	0.00001	0	0.01306	0.00079	0.000765691	0	0	0.999869416
MvSl-1064-A1-R4_MC09-2g09033	aAutosome	aAutosome	NON	6.8484	6.71122	1.020440397	0.029191918	0.00663	0.00333	0.01306	0.0076	0.507653	MvSl-1064-A2-R4_MC09g09308	0.00663	0.00334	0.01306	0.00763	0.507653	0	0	0.999999803
MvSl-1064-A1-R4_MC01-1g02737	aAutosome	aAutosome	NON	2.34752	2.65239	0.885058381	-0.176155472	0.00001	0	0.01304	0.00073	0.000766865	MvSl-1064-A2-R4_MC01g03019	0.00001	0	0.01304	0.00086	0.000766865	0	0	0.999869616
MvSl-1064-A1-R4_A1g01480	bPAR	bPAR	NON	1.22976	1.00744	1.220678155	0.287682868	0.00881	0.00625	0.01303	0.01308	0.676127	MvSl-1064-A2-R4_A2g01793	0.00881	0.00625	0.01303	0.01308	0.676127	0	0	0.999999852
MvSl-1064-A1-R4_A1g01467	bPAR	bPAR	NON	5.6423	5.71489	0.987298093	-0.018442354	0.00484	0.00686	0.01301	0.02144	0.372019	MvSl-1064-A2-R4_A2g01780	0.00484	0.00531	0.01301	0.01604	0.372019	0	0	0.999999731
MvSl-1064-A1-R4_MC07g07722	aAutosome	aAutosome	NON	2.63334	3.12977	0.841384511	-0.249162836	0.00001	0	0.013	0.00075	0.000769225	MvSl-1064-A2-R4_MC07g07987	0.00001	0	0.013	0.00147	0.000769225	0	0	0.999870016
MvSl-1064-A1-R4_MC01-1g01735	aAutosome	aAutosome	NON	2.50627	1.75491	1.428147312	0.5141448	0.01236	0.0052	0.01299	0.00771	0.951494	MvSl-1064-A2-R4_MC01g02016	0.01236	0.00491	0.01299	0.00622	0.951494	0	0	0.999999895
MvSl-1064-A1-R4_MC11g10636	aAutosome	aAutosome	NON	7.20604	7.13537	1.009904182	0.014218418	0.0093	0.0066	0.01299	0.0131	0.71593	MvSl-1064-A2-R4_MC11g10900	0.0093	0.0066	0.01299	0.0131	0.71593	0	0	0.99999986
MvSl-1064-A1-R4_A1g01444	bPAR	bPAR	NON	11.1721	11.2382	0.994118275	-0.008510588	0.00001	0.00002	0.01298	0.00763	0.00077041	MvSl-1064-A2-R4_A2g01757	0.00001	0.00004	0.01298	0.00771	0.00077041	0	0	0.999870216
MvSl-1064-A1-R4_MC09-2g09219	aAutosome	aAutosome	NON	5.85047	5.91832	0.988535598	-0.016635175	0.00299	0.00256	0.01298	0.01117	0.230353	MvSl-1064-A2-R4_MC09g09494	0.00299	0.0024	0.01298	0.01042	0.230353	0	0	0.999999566
MvSl-1064-A1-R4_MC08g08584	aAutosome	aAutosome	NON	6.71528	6.90159	0.973004771	-0.039481215	0.00129	0.00129	0.01291	0.0075	0.0999218	MvSl-1064-A2-R4_MC08-1g08849	0.00129	0.00129	0.01291	0.00751	0.0999218	0	0	0.999998999
MvSl-1064-A1-R4_MC05-2g06480	aAutosome	aAutosome	NON	8.85422	8.70652	1.016964298	0.024269032	0.00001	0	0.01288	0.00099	0.000776391	MvSl-1064-A2-R4_MC05g06754	0.00001	0	0.01288	0.0011	0.000776391	0	0	0.999871216
MvSl-1064-A1-R4_MC03g04607	aAutosome	aAutosome	NON	5.56968	4.9888	1.116436818	0.158901608	0.00375	0.00378	0.01286	0.00921	0.2916	MvSl-1064-A2-R4_MC03g04885	0.00375	0.00366	0.01286	0.00905	0.2916	0	0	0.999999657
MvSl-1064-A1-R4_MC07g07803	aAutosome	aAutosome	NON	6.35675	6.38529	0.995530352	-0.006462793	0.00001	0	0.01286	0	0.000777599	MvSl-1064-A2-R4_MC07g08068	0.00001	0	0.01286	0	0.000777599	0	0	0.999871416
MvSl-1064-A1-R4_MC10-2g10050	aAutosome	aAutosome	Down	6.77851	7.64564	0.886585034	-0.173669085	0.01013	0.00587	0.01284	0.01282	0.788935	MvSl-1064-A2-R4_MC10g10314	0.01013	0.00589	0.01284	0.01297	0.788935	0	0	0.999999873
MvSl-1064-A1-R4_MC02g03662	aAutosome	aAutosome	NON	3.18543	3.17273	1.004002862	0.005763382	0.00315	0.00309	0.01283	0.01252	0.245516	MvSl-1064-A2-R4_MC02g03940	0.00315	0.00308	0.01283	0.01248	0.245516	0	0	0.999999593
MvSl-1064-A1-R4_MC03g05213	aAutosome	aAutosome	NON	5.10558	5.21758	0.97853411	-0.031305954	0.00425	0.00133	0.00809	0.00302	0.525333	MvSl-1064-A2-R4_MC03g05490	0.01396	0.00234	0.01283	0.00346	1.08807	-0.00971	-0.00474	0.482811723
MvSl-1064-A1-R4_MC03g04785	aAutosome	aAutosome	NON	9.25514	9.44987	0.979393367	-0.030039669	0.00204	0.00122	0.0128	0.0061	0.159374	MvSl-1064-A2-R4_MC03g05063	0.00204	0.00129	0.0128	0.00626	0.159374	0	0	0.999999373
MvSl-1064-A1-R4_MC06g07029	aAutosome	aAutosome	NON	2.90071	2.96692	0.977683928	-0.032559958	0.00333	0.00378	0.01278	0.01458	0.260561	MvSl-1064-A2-R4_MC06-1g07292	0.00333	0.00278	0.01278	0.01068	0.260561	0	0	0.999999616
MvSl-1064-A1-R4_MC07g07989	aAutosome	aAutosome	NON	6.58181	6.90153	0.95367404	-0.068431848	0.00001	0	0.01277	0.00136	0.000783079	MvSl-1064-A2-R4_MC07g08254	0.00001	0	0.01277	0.0013	0.000783079	0	0	0.999872315
MvSl-1064-A1-R4_MC06g07535	aAutosome	aAutosome	NON	2.96247	3.30847	0.895419937	-0.159363653	0.00781	0.00554	0.01274	0.0128	0.613025	MvSl-1064-A2-R4_MC06-2g07800	0.00781	0.00555	0.01274	0.01287	0.613025	0	0	0.999999837
MvSl-1064-A1-R4_MC04-1g05685	aAutosome	aAutosome	NON	7.43852	7.50383	0.991296445	-0.012611539	0.00216	0.00154	0.01272	0.00641	0.16981	MvSl-1064-A2-R4_MC04-1g05961	0.00216	0.00154	0.01272	0.00641	0.16981	0	0	0.999999411
MvSl-1064-A1-R4_MC09-2g09122	aAutosome	aAutosome	NON	6.71532	6.61825	1.014667019	0.021006359	0.01096	0.00232	0.0127	0.00376	0.862985	MvSl-1064-A2-R4_MC09g09397	0.01096	0.00232	0.0127	0.00375	0.862985	0	0	0.999999884
MvSl-1064-A1-R4_MC07g07708	aAutosome	aAutosome	NON	3.38545	3.27596	1.033422264	0.047429871	0.00263	0.00265	0.01268	0.00953	0.207412	MvSl-1064-A2-R4_MC07g07973	0.00263	0.00221	0.01268	0.00861	0.207412	0	0	0.999999518
MvSl-1064-A1-R4_MC09-2g09532	aAutosome	aAutosome	NON	4.42789	4.3824	1.010380157	0.014898211	0.01173	0.00242	0.01268	0	0.925072	MvSl-1064-A2-R4_MC09g09806	0.01173	0.00366	0.01268	0.00519	0.925072	0	0	0.999999892
MvSl-1064-A1-R4_MC02g04151	aAutosome	aAutosome	NON	6.33116	5.78725	1.093984189	0.129591888	0.00462	0.00464	0.01267	0.01274	0.364638	MvSl-1064-A2-R4_MC02g04429	0.00462	0.00463	0.01267	0.01272	0.364638	0	0	0.999999726
MvSl-1064-A1-R4_MC01-1g01822	aAutosome	aAutosome	NON	6.73621	6.3711	1.057307215	0.080394633	0.01875	0.00772	0.01266	0.00544	1.48103	MvSl-1064-A2-R4_MC01g02103	0.01875	0.00771	0.01266	0.00537	1.48103	0	0	0.999999932
MvSl-1064-A1-R4_MC02g03753	aAutosome	aAutosome	NON	6.6905	6.9754	0.959156464	-0.060161918	0.00001	0	0.01264	0.00154	0.000791133	MvSl-1064-A2-R4_MC02g04031	0.00001	0	0.01264	0.00184	0.000791133	0	0	0.999873615
MvSl-1064-A1-R4_MC04-1g05838	aAutosome	aAutosome	NON	8.35269	8.33178	1.002509668	0.00361615	0.00001	0	0.01263	0.00018	0.000791759	MvSl-1064-A2-R4_MC04-1g06114	0.00001	0	0.01263	0.00048	0.000791759	0	0	0.999873715
MvSl-1064-A1-R4_MC15g12091	aAutosome	aAutosome	NON	4.36471	4.62166	0.944403093	-0.082525328	0.00598	0.00347	0.01263	0.00906	0.473472	MvSl-1064-A2-R4_MC15g12340	0.00598	0.00348	0.01263	0.00908	0.473472	0	0	0.999999789
MvSl-1064-A1-R4_MC02g03546	aAutosome	aAutosome	NON	6.26653	5.93775	1.055371142	0.077750441	0.00867	0.00573	0.01262	0.01093	0.686999	MvSl-1064-A2-R4_MC02g03824	0.00867	0.00436	0.01262	0.00138	0.686999	0	0	0.999999854
MvSl-1064-A1-R4_MC05-3g06621	aAutosome	aAutosome	NON	2.34877	3.08782	0.760656385	-0.394683209	0.00482	0.00483	0.01262	0.01269	0.38193	MvSl-1064-A2-R4_MC05g06884	0.00482	0.00483	0.01262	0.01269	0.38193	0	0	0.999999738
MvSl-1064-A1-R4_MC08g08576	aAutosome	aAutosome	NON	7.14611	6.99329	1.021852376	0.031186789	0.00101	0.00101	0.00859	0.00499	0.117577	MvSl-1064-A2-R4_MC08-1g08841	0.00293	0.00112	0.01262	0.0048	0.232169	-0.00192	-0.00403	0.506428289
MvSl-1064-A1-R4_MC03g04853	aAutosome	aAutosome	NON	6.71884	6.76379	0.993354318	-0.009619693	0.00221	0.00222	0.01261	0.00899	0.175256	MvSl-1064-A2-R4_MC03g05131	0.00221	0.00221	0.01261	0.00898	0.175256	0	0	0.999999429
MvSl-1064-A1-R4_MC08g08616	aAutosome	aAutosome	NON	7.46643	7.48434	0.997607003	-0.003456502	0.00657	0.00407	0.01261	0.00916	0.521011	MvSl-1064-A2-R4_MC08-1g08881	0.00657	0.00409	0.01261	0.00934	0.521011	0	0	0.999999808
MvSl-1064-A1-R4_MC09-2g09304	aAutosome	aAutosome	NON	8.65961	8.66702	0.999145035	-0.001233982	0.00001	0	0.01261	0.0015	0.000793015	MvSl-1064-A2-R4_MC09g09578	0.00001	0	0.01261	0.00145	0.000793015	0	0	0.999873915
MvSl-1064-A1-R4_MC07g07656	aAutosome	aAutosome	NON	5.14929	5.23406	0.98380416	-0.02355694	0.00001	0	0.01259	0.00105	0.000794275	MvSl-1064-A2-R4_MC07g07921	0.00001	0	0.01259	0.00106	0.000794275	0	0	0.999874115
MvSl-1064-A1-R4_MC11g10324	aAutosome	aAutosome	NON	4.84205	4.80949	1.006769949	0.009734059	0.00001	0	0.01259	0.00113	0.000794275	MvSl-1064-A2-R4_MC11g10585	0.00001	0.00001	0.01259	0.0127	0.000794275	0	0	0.999874115
MvSl-1064-A1-R4_MC13g11400	aAutosome	aAutosome	NON	7.62833	8.02246	0.950871678	-0.072677436	0.00314	0.00307	0.01257	0.01214	0.249799	MvSl-1064-A2-R4_MC13g11661	0.00314	0.00307	0.01257	0.01216	0.249799	0	0	0.9999996
MvSl-1064-A1-R4_MC03g04804	aAutosome	aAutosome	NON	5.08691	5.0185	1.013631563	0.019533354	0.00001	0	0.01256	0.0005	0.000796172	MvSl-1064-A2-R4_MC03g05082	0.00001	0	0.01256	0.00066	0.000796172	0	0	0.999874415
MvSl-1064-A1-R4_MC10-2g10068	aAutosome	aAutosome	NON	7.03797	7.22545	0.974052827	-0.037928077	0.00001	0	0.01255	0.00228	0.000796806	MvSl-1064-A2-R4_MC10g10332	0.00001	0	0.01255	0.00236	0.000796806	0	0	0.999874515
MvSl-1064-A1-R4_MC12g11198	aAutosome	aAutosome	NON	5.42841	5.08975	1.066537649	0.092934894	0.00105	0.00106	0.01254	0.00729	0.0837314	MvSl-1064-A2-R4_MC12g11461	0.00105	0.00106	0.01254	0.0073	0.0837314	0	0	0.999998806
MvSl-1064-A1-R4_MC04-1g05722	aAutosome	aAutosome	NON	6.24348	6.34518	0.983972086	-0.023310706	0.00197	0.00198	0.01253	0.00892	0.157221	MvSl-1064-A2-R4_MC04-1g05998	0.00197	0.00198	0.01253	0.00893	0.157221	0	0	0.999999364
MvSl-1064-A1-R4_MC12g10935	aAutosome	aAutosome	NON	5.26864	5.14664	1.023704786	0.033799734	0.00232	0.00232	0.01253	0.00892	0.185154	MvSl-1064-A2-R4_MC12g11198	0.00232	0.00232	0.01253	0.00891	0.185154	0	0	0.99999946
MvSl-1064-A1-R4_MC04-1g05823	aAutosome	aAutosome	NON	7.00399	7.04878	0.993645709	-0.009196554	0.00158	0.00159	0.01251	0.00727	0.126298	MvSl-1064-A2-R4_MC04-1g06099	0.00158	0.00159	0.01251	0.00727	0.126298	0	0	0.999999208
MvSl-1064-A1-R4_MC05-3g06580	aAutosome	aAutosome	NON	5.08572	4.88908	1.040220246	0.056889023	0.00776	0.0047	0.01251	0.00851	0.620299	MvSl-1064-A2-R4_MC05g06843	0.00776	0.00214	0.01251	0	0.620299	0	0	0.999999839
MvSl-1064-A1-R4_MC02g03891	aAutosome	aAutosome	Down	5.00567	6.84522	0.731265029	-0.451533725	0.00687	0.00399	0.0125	0.00893	0.549596	MvSl-1064-A2-R4_MC02g04169	0.00687	0.00399	0.0125	0.00893	0.549596	0	0	0.999999818
MvSl-1064-A1-R4_MC13g11478	aAutosome	aAutosome	NON	6.87304	6.67695	1.0293682	0.041759119	0.00001	0	0.0125	0.001	0.000799994	MvSl-1064-A2-R4_MC13g11739	0.00001	0	0.0125	0.00081	0.000799994	0	0	0.999875015
MvSl-1064-A1-R4_MC13g11655	aAutosome	aAutosome	NON	4.46496	4.7016	0.949668198	-0.074504553	0.00612	0.00233	0.01248	0.00472	0.490381	MvSl-1064-A2-R4_MC13g11916	0.00612	0.00227	0.01249	0.00448	0.489988	0	-1.00E-05	1.000801856
MvSl-1064-A1-R4_MC07g08104	aAutosome	aAutosome	Up	7.59447	6.74771	1.125488499	0.170551315	0.00553	0.00343	0.01248	0.00998	0.443105	MvSl-1064-A2-R4_MC07g08369	0.00553	0.00307	0.01248	0.00518	0.443105	0	0	0.999999774
MvSl-1064-A1-R4_MC13g11464	aAutosome	aAutosome	NON	9.56735	9.85517	0.970795024	-0.042761381	0.00202	0.00202	0.01247	0.00885	0.161987	MvSl-1064-A2-R4_MC13g11725	0.00202	0.00202	0.01247	0.00885	0.161987	0	0	0.999999383
MvSl-1064-A1-R4_MC08g08572	aAutosome	aAutosome	NON	4.92497	4.99889	0.985212717	-0.021492844	0.00798	0.0051	0.01245	0.00992	0.640959	MvSl-1064-A2-R4_MC08-1g08837	0.00798	0.00502	0.01245	0.00948	0.640959	0	0	0.999999844
MvSl-1064-A1-R4_MC09-2g09142	aAutosome	aAutosome	NON	8.07695	7.4174	1.088919298	0.122897037	0.01846	0.00903	0.01245	0.01108	1.48272	MvSl-1064-A2-R4_MC09g09417	0.01846	0.00905	0.01245	0.01122	1.48272	0	0	0.999999933
MvSl-1064-A1-R4_MC10-1g09632	aAutosome	aAutosome	NON	6.87126	6.73949	1.019551925	0.027935252	0.00426	0.00303	0.01245	0.0089	0.342166	MvSl-1064-A2-R4_MC10g09899	0.00426	0.00303	0.01245	0.00891	0.342166	0	0	0.999999708
MvSl-1064-A1-R4_MC01-1g02793	aAutosome	aAutosome	NON	8.26103	8.1536	1.013175775	0.018884488	0.0017	0.00171	0.01244	0.00722	0.136655	MvSl-1064-A2-R4_MC01g03075	0.0017	0.00171	0.01244	0.00722	0.136655	0	0	0.999999268
