gid	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	A2genes	GC0A1	GC0A2	Godiff
MvSl-1064-A1-R4_MC03g04343	aAutosome	aAutosome	1	0	0	0	0	0	-0.683933365	0.722217925	2.453298076	4.268157786	4.195187545	4.415492366	NON	NON	3.36073	4.30534	MvSl-1064-A2-R4_MC03g04621	59.97	59.97	0
MvSl-1064-A1-R4_MC01-1g02647	aAutosome	aAutosome	1	87	87	0	0	0	-0.68390947	0.069407591	6.203598846	5.808994983	6.413074841	6.943934861	NON	NON	6.0063	6.6785	MvSl-1064-A2-R4_MC01g02929	61.97	61.97	0
MvSl-1064-A1-R4_MC13g11598	aAutosome	aAutosome	1	0	0	0	0	0	-0.683746891	0.604671992	1.048338907	1.446700478	1.739769623	2.089065632	NON	NON	1.24752	1.91442	MvSl-1064-A2-R4_MC13g11859	54.49	54.49	0
MvSl-1064-A1-R4_MC06g06922	aAutosome	aAutosome	1	50	50	0	0	0	-0.682856945	0.217824109	3.461464482	3.597537941	4.191586542	4.227752293	NON	NON	3.5295	4.20967	MvSl-1064-A2-R4_MC06-1g07185	63.73	63.73	0
MvSl-1064-A1-R4_MC05-3g06600	aAutosome	aAutosome	1	53	53	0	0	0	-0.682011778	0.324496675	2.789653266	3.078290666	3.502229892	3.723398761	NON	NON	2.93397	3.61281	MvSl-1064-A2-R4_MC05g06863	54.63	54.63	0
MvSl-1064-A1-R4_MC02g03860	aAutosome	aAutosome	5	81.2	406	0	0	0	-0.680580262	0.243513104	3.454472381	3.342947025	3.978261782	4.166678452	NON	NON	3.39871	4.07247	MvSl-1064-A2-R4_MC02g04138	56.4	56.4	0
MvSl-1064-A1-R4_MC08g08331	aAutosome	aAutosome	1	0	0	0	0	0	-0.679622275	0.536375132	1.695916244	1.362462454	2.178590566	2.222145711	NON	NON	1.52919	2.20037	MvSl-1064-A2-R4_MC08-1g08596	53.24	53.24	0
MvSl-1064-A1-R4_MC01-1g02186	aAutosome	aAutosome	2	72	144	0	0	0	-0.678411828	0.136759299	4.423181575	4.421744404	4.869472887	5.296213947	NON	NON	4.42246	5.08284	MvSl-1064-A2-R4_MC01g02468	53.02	53.02	0
MvSl-1064-A1-R4_MC07g07693	aAutosome	aAutosome	5	125.6	628	0	0	0	-0.677431834	0.754591646	0.849484255	0.926980603	0.874104747	1.992996033	NON	NON	0.888232	1.43355	MvSl-1064-A2-R4_MC07g07958	53.77	53.77	0
MvSl-1064-A1-R4_MC08g08719	aAutosome	aAutosome	3	192	576	0	0	0	-0.676472745	0.614154095	2.274282323	1.551873238	2.26336534	2.906543766	NON	NON	1.91308	2.58495	MvSl-1064-A2-R4_MC08-1g08984	56.34	56.34	0
MvSl-1064-A1-R4_MC08g08400	aAutosome	aAutosome	2	77.5	155	0	0	0	-0.676223292	0.454044687	4.563016797	3.5475465	4.481330949	5.087215581	NON	NON	4.05528	4.78427	MvSl-1064-A2-R4_MC08-1g08665	60.41	60.41	0
MvSl-1064-A1-R4_MC03g04828	aAutosome	aAutosome	3	187	561	0	0	0	-0.672447028	0.492522582	1.809873885	1.889468994	2.394446114	2.615349355	NON	NON	1.84967	2.5049	MvSl-1064-A2-R4_MC03g05106	57.29	57.29	0
MvSl-1064-A1-R4_MC02g04197	aAutosome	aAutosome	4	101.5	406	0	0	0	-0.670858143	0.640835237	2.599914258	1.626008424	2.503027561	3.1337794	NON	NON	2.11296	2.8184	MvSl-1064-A2-R4_MC02g04475	62.12	62.12	0
MvSl-1064-A1-R4_MC02g03403	aAutosome	aAutosome	3	263.333	790	0	0	0	-0.669636711	0.728273456	1.572179164	1.11033882	1.383594751	2.444262849	NON	NON	1.34126	1.91393	MvSl-1064-A2-R4_MC02g03683	58.91	58.91	0
MvSl-1064-A1-R4_MC03g05187	aAutosome	aAutosome	2	137.5	275	0	0	0	-0.669517161	0.220385686	4.35347837	3.906021818	4.624417663	4.980618954	NON	NON	4.12975	4.80252	MvSl-1064-A2-R4_MC03g05464	55.69	55.69	0
MvSl-1064-A1-R4_MC02g04185	aAutosome	aAutosome	4	169	676	0	0	0	-0.667404195	0.216086164	3.638477024	3.748991948	4.399412991	4.316427905	NON	NON	3.69373	4.35792	MvSl-1064-A2-R4_MC02g04463	52.71	52.71	0
MvSl-1064-A1-R4_MC01-1g02007	aAutosome	aAutosome	5	76.8	384	0	0	0	-0.666662059	0.070274805	4.708232253	4.860952679	5.454332288	5.44886493	NON	NON	4.78459	5.4516	MvSl-1064-A2-R4_MC01g02288	58.81	58.81	0
MvSl-1064-A1-R4_MC02g03519	aAutosome	aAutosome	1	64	64	0	0	0	-0.665504115	0.713481338	1.048338907	0.523547081	1.22353768	1.638146288	NON	NON	0.785943	1.43084	MvSl-1064-A2-R4_MC02g03797	50.41	50.41	0
MvSl-1064-A1-R4_MC02g03360	aAutosome	aAutosome	5	83.4	417	0	0	0	-0.665460539	0.762595893	1.048338907	0.761418038	0.909608341	1.992996033	NON	NON	0.904878	1.4513	MvSl-1064-A2-R4_MC02g03640	50.88	50.88	0
MvSl-1064-A1-R4_MC05-3g06534	aAutosome	aAutosome	1	0	0	0	0	0	-0.664964463	0.762881284	0.004299929	0.30023917	0.837705346	0.723173516	NON	NON	0.15227	0.780439	MvSl-1064-A2-R4_MC05g06797	57.07	57.07	0
MvSl-1064-A1-R4_MC01-1g01710	aAutosome	aAutosome	1	78	78	0	0	0	-0.664299046	0.507751025	2.947387042	3.870880617	4.380559601	3.856751988	NON	NON	3.40913	4.11866	MvSl-1064-A2-R4_MC01g01991	51.14	51.09	0.05
MvSl-1064-A1-R4_MC07g07825	aAutosome	aAutosome	1	0	0	0	0	0	-0.663298592	0.641260076	2.192597779	1.47372115	2.163964169	2.815856156	NON	NON	1.83316	2.48991	MvSl-1064-A2-R4_MC07g08090	57.74	57.74	0
MvSl-1064-A1-R4_MC18g12257	aAutosome	aAutosome	3	87.3333	262	0	0	0	-0.66322341	0.669161418	1.894972487	1.11033882	1.907199923	2.444262849	NON	NON	1.50266	2.17573	MvSl-1064-A2-R4_MC18g12507	59.35	59.35	0
MvSl-1064-A1-R4_MC01-1g02739	aAutosome	aAutosome	1	0	0	0	0	0	-0.663140206	0.136692213	8.2649584	8.427714275	9.020578122	9.002623158	NON	NON	8.34634	9.0116	MvSl-1064-A2-R4_MC01g03021	56.83	56.83	0
MvSl-1064-A1-R4_MC02g03665	aAutosome	aAutosome	1	62	62	0	0	0	-0.663062487	0.631404339	1.048338907	1.763744416	2.072947847	2.119717945	NON	NON	1.40604	2.09633	MvSl-1064-A2-R4_MC02g03943	55.81	55.81	0
MvSl-1064-A1-R4_MC06g07097	aAutosome	aAutosome	6	222.833	1337	0	0	0	-0.662976176	0.909185332	1.120792168	-0.287932128	0.309437219	1.759902609	NON	NON	0.41643	1.03467	MvSl-1064-A2-R4_MC06-2g07362	59.55	59.55	0
MvSl-1064-A1-R4_MC04-1g05676	aAutosome	aAutosome	2	77.5	155	0	0	0	-0.662626477	0.291128348	6.454623338	6.403696467	6.4107537	7.552060654	NON	NON	6.42916	6.98141	MvSl-1064-A2-R4_MC04-1g05952	58.09	58.09	0
MvSl-1064-A1-R4_MC02g03883	aAutosome	aAutosome	4	74	296	0	0	0	-0.660367604	0.799861208	0.761575007	0.1741254	0.597616729	1.50515924	NON	NON	0.46785	1.05139	MvSl-1064-A2-R4_MC02g04161	53.52	53.52	0
MvSl-1064-A1-R4_MC01-1g02318	aAutosome	aAutosome	1	58	58	0	0	0	-0.660241776	0.723486357	0.972053696	1.11033882	1.1659802	2.0577479	NON	NON	1.0412	1.61186	MvSl-1064-A2-R4_MC01g02600	44.44	44.44	0
MvSl-1064-A1-R4_MC04-1g05680	aAutosome	aAutosome	10	89.1	891	0	0	0	-0.657519945	0.700263154	9.842854373	9.351586601	9.419057682	10.80923114	NON	NON	9.59722	10.1141	MvSl-1064-A2-R4_MC04-1g05956	54.54	54.54	0
MvSl-1064-A1-R4_MC04-1g05955	aAutosome	aAutosome	5	76.4	382	0	0	0	-0.656659579	0.173801071	5.747616186	6.494724609	7.033133812	6.581997272	NON	NON	6.12117	6.80757	MvSl-1064-A2-R4_MC04-1g06231	56.14	56.14	0
MvSl-1064-A1-R4_MC09-2g08975	aAutosome	aAutosome	1	65	65	0	0	0	-0.655968788	0.648491103	1.572179164	1.003142346	1.816590972	2.073491744	NON	NON	1.28766	1.94504	MvSl-1064-A2-R4_MC09g09250	47.22	47.22	0
MvSl-1064-A1-R4_MC10-2g09967	aAutosome	aAutosome	2	75	150	0	0	0	-0.654685932	0.074054578	6.589988329	6.00116028	6.880467559	7.071911024	NON	NON	6.29557	6.97619	MvSl-1064-A2-R4_MC10g10231	52.96	52.96	0
MvSl-1064-A1-R4_MC03g04703	aAutosome	aAutosome	3	68.6667	206	0	0	0	-0.654487522	0.477463542	2.906981979	2.305039023	3.125700504	3.425146417	NON	NON	2.60601	3.27542	MvSl-1064-A2-R4_MC03g04981	55.43	55.43	0
MvSl-1064-A1-R4_MC08g08471	aAutosome	aAutosome	1	71	71	0	0	0	-0.654168537	0.669161418	1.378915748	1.003142346	1.572646014	2.0577479	NON	NON	1.19103	1.8152	MvSl-1064-A2-R4_MC08-1g08736	48.25	48.25	0
MvSl-1064-A1-R4_A1g00779	faBlack	NRR	10	96	960	0	0.8	8	-0.654128401	0.071464035	7.737031596	7.61645047	8.262368925	8.398201136	NON	NON	7.67674	8.33029	MvSl-1064-A2-R4_A2g00329	55.6	55.3	0.3
MvSl-1064-A1-R4_MC11g10626	aAutosome	aAutosome	1	104	104	0	0	0	-0.654025854	0.529848335	2.141270708	2.0596307	2.455775009	2.983557613	NON	NON	2.10045	2.71967	MvSl-1064-A2-R4_MC11g10890	53.77	53.77	0
MvSl-1064-A1-R4_MC09-1g08907	aAutosome	aAutosome	3	202.667	608	0	0	0	-0.65258812	0.836808331	-0.246035122	-0.038483768	0.198989447	0.682687121	NON	NON	-0.142259	0.440838	MvSl-1064-A2-R4_MC09g09189	56.94	56.94	0
MvSl-1064-A1-R4_MC07g07871	aAutosome	aAutosome	1	94	94	0	0	0	-0.652261197	0.344348586	3.397281046	4.034074137	4.463524702	4.332873309	NON	NON	3.71568	4.3982	MvSl-1064-A2-R4_MC07g08136	59.56	59.56	0
MvSl-1064-A1-R4_MC06g07321	aAutosome	aAutosome	2	59.5	119	0	0	0	-0.652233437	0.593431818	1.408161046	1.391091799	2.041286738	2.025735215	NON	NON	1.39963	2.03351	MvSl-1064-A2-R4_MC06-2g07586	57.71	57.71	0
MvSl-1064-A1-R4_MC04-1g05720	aAutosome	aAutosome	3	95.6667	287	0	0	0	-0.650431259	0.804905725	0.149911178	-0.038483768	0.460710554	0.838231755	NON	NON	0.0557137	0.649471	MvSl-1064-A2-R4_MC04-1g05996	56.1	56.1	0
MvSl-1064-A1-R4_MC02g03661	aAutosome	aAutosome	3	88	264	0	0	0	-0.650337696	0.73509597	0.403304404	1.419164051	1.637606939	1.616815745	NON	NON	0.911234	1.62721	MvSl-1064-A2-R4_MC02g03939	55.72	55.72	0
MvSl-1064-A1-R4_MC04-1g05744	aAutosome	aAutosome	8	145.125	1161	0	0	0	-0.650199566	0.077876096	4.973306778	4.918628662	5.507436171	5.677251	NON	NON	4.94597	5.59234	MvSl-1064-A2-R4_MC04-1g06020	56.54	56.54	0
MvSl-1064-A1-R4_MC08g08855	aAutosome	aAutosome	5	94.8	474	0	3	15	-0.647885204	0.441219283	2.649739241	2.66294161	3.056117538	3.502781908	NON	NON	2.65634	3.27945	MvSl-1064-A2-R4_MC08-2g09136	58.87	58.9	-0.03
MvSl-1064-A1-R4_MC12g10920	aAutosome	aAutosome	6	98.1667	589	0	0	0	-0.647585133	0.468988996	3.987502718	3.252226205	3.990747781	4.570538501	NON	NON	3.61986	4.28064	MvSl-1064-A2-R4_MC12g11183	59.71	59.71	0
MvSl-1064-A1-R4_MC02g03973	aAutosome	aAutosome	1	350	350	0	0	0	-0.646104289	0.110775311	5.777339232	5.199216356	6.089432795	6.230906567	NON	NON	5.48828	6.16017	MvSl-1064-A2-R4_MC02g04251	64.09	64.09	0
MvSl-1064-A1-R4_MC09-2g09523	aAutosome	aAutosome	1	207	207	0	0	0	-0.645681142	0.641946214	1.085020322	1.626008424	2.041286738	1.976343553	NON	NON	1.35551	2.00882	MvSl-1064-A2-R4_MC09g09797	60.2	60.2	0
MvSl-1064-A1-R4_MC08g08368	aAutosome	aAutosome	2	83.5	167	0	0	0	-0.643790424	0.232321274	4.71702326	4.509228909	4.924743695	5.529554207	NON	NON	4.61313	5.22715	MvSl-1064-A2-R4_MC08-1g08633	58.15	58.15	0
MvSl-1064-A1-R4_MC02g03890	aAutosome	aAutosome	1	0	0	0	0	0	-0.643767907	0.104547833	5.167530908	4.868607688	5.53895179	5.786359924	NON	NON	5.01807	5.66266	MvSl-1064-A2-R4_MC02g04168	57.69	57.69	0
MvSl-1064-A1-R4_MC09-2g09026	aAutosome	aAutosome	4	83.75	335	0	0	0	-0.642075862	0.663080109	2.508352367	1.827975816	2.36916546	3.192632118	NON	NON	2.16816	2.7809	MvSl-1064-A2-R4_MC09g09301	54.99	54.99	0
MvSl-1064-A1-R4_A1g00118	faBlack	NRR	2	66.5	133	0	10.5	21	-0.640841648	0.217624432	3.897565063	3.987962079	4.611000573	4.550990866	NON	NON	3.94276	4.581	MvSl-1064-A2-R4_A2g01692	59.16	58.69	0.47
MvSl-1064-A1-R4_MC01-1g02451	aAutosome	aAutosome	1	0	0	0	0	0	-0.640402446	0.541128175	2.209308876	2.023513508	2.491358723	2.966795194	NON	NON	2.11641	2.72908	MvSl-1064-A2-R4_MC01g02733	63.08	63.08	0
MvSl-1064-A1-R4_MC02g03353	aAutosome	aAutosome	1	105	105	0	0	0	-0.639900922	0.822268879	0.344005256	0.88733691	1.658626442	0.682687121	NON	NON	0.615671	1.17066	MvSl-1064-A2-R4_MC02g03633	58.71	58.71	0
MvSl-1064-A1-R4_MC01-1g01827	aAutosome	aAutosome	2	79	158	0	0	0	-0.639826842	0.516109141	3.87679399	3.298299596	3.795814108	4.598012098	NON	NON	3.58755	4.19691	MvSl-1064-A2-R4_MC01g02108	54.12	54.12	0
MvSl-1064-A1-R4_MC10-2g09858	aAutosome	aAutosome	5	161.8	809	0	16.6	83	-0.639306727	0.751363345	2.686010266	2.797353485	2.394446114	3.953514149	NON	NON	2.74168	3.17398	MvSl-1064-A2-R4_MC10g10122	59.7	59.89	-0.19
MvSl-1064-A1-R4_MC03g04908	aAutosome	aAutosome	2	67.5	135	0	0	0	-0.638763405	0.772696662	0.932343106	0.623448787	0.909608341	1.759902609	NON	NON	0.777896	1.33476	MvSl-1064-A2-R4_MC03g05186	53.18	53.18	0
MvSl-1064-A1-R4_MC01-1g01892	aAutosome	aAutosome	1	119	119	0	0	0	-0.638508141	0.495517227	2.811707768	2.243569029	3.162955096	3.206977676	NON	NON	2.52764	3.18497	MvSl-1064-A2-R4_MC01g02173	56.63	56.63	0
MvSl-1064-A1-R4_MC02g03361	aAutosome	aAutosome	3	55.3333	166	0	0	0	-0.637232994	0.866323255	0.515056251	0.035922101	0.140423896	1.384130738	NON	NON	0.275489	0.762277	MvSl-1064-A2-R4_MC02g03641	53.81	53.81	0
MvSl-1064-A1-R4_MC09-2g09175	aAutosome	aAutosome	2	93	186	0	0	0	-0.6369536	0.262645546	3.669000729	3.84524514	4.364658022	4.421655942	NON	NON	3.75712	4.39316	MvSl-1064-A2-R4_MC09g09450	58.32	58.32	0
MvSl-1064-A1-R4_A1g00106	faBlack	NRR	3	81	243	0	-9.3333	-28	-0.635472111	0.707465373	0.849484255	1.003142346	1.383594751	1.679883939	NON	NON	0.926313	1.53174	MvSl-1064-A2-R4_A2g00116	51.43	51.73	-0.3
MvSl-1064-A1-R4_MC11g10481	aAutosome	aAutosome	1	0	0	0	0	0	-0.635320185	0.726957672	1.287445144	0.574362493	1.550325692	1.616815745	NON	NON	0.930904	1.58357	MvSl-1064-A2-R4_MC11g10743	49.77	49.77	0
MvSl-1064-A1-R4_MC12g11269	aAutosome	aAutosome	7	106.857	748	0	0	0	-0.635238425	0.181568344	6.477222508	5.985990997	6.522465279	7.177666326	NON	NON	6.23161	6.85007	MvSl-1064-A2-R4_MC12g11532	58.26	58.26	0
MvSl-1064-A1-R4_MC07g08188	aAutosome	aAutosome	3	77.6667	233	0	0	0	-0.63500737	0.620996616	4.00196196	5.130838599	5.709799553	4.747799276	NON	NON	4.5664	5.2288	MvSl-1064-A2-R4_MC07g08453	54.62	54.62	0
MvSl-1064-A1-R4_MC04-1g05836	aAutosome	aAutosome	2	114.5	229	0	0	0	-0.634898488	0.777355397	0.849484255	0.1741254	1.251477599	1.044012014	NON	NON	0.511805	1.14774	MvSl-1064-A2-R4_MC04-1g06112	52.47	52.47	0
MvSl-1064-A1-R4_MC14g11978	aAutosome	aAutosome	2	65.5	131	0	0	0	-0.634233432	0.839619671	0.667959508	0.106678021	0.41202747	1.433767012	NON	NON	0.387319	0.922897	MvSl-1064-A2-R4_MC14g12239	52.58	52.58	0
MvSl-1064-A1-R4_MC13g11307	aAutosome	aAutosome	3	137.333	412	0	0	0	-0.632037121	0.145689288	5.205508058	4.873688555	5.466303226	5.865359117	NON	NON	5.0396	5.66583	MvSl-1064-A2-R4_MC13g11568	55.88	55.88	0
MvSl-1064-A1-R4_MC07g07906	aAutosome	aAutosome	6	90.5	543	0	0	0	-0.631959585	0.541128175	10.47600986	10.50895794	11.26454071	10.96940142	NON	NON	10.4925	11.117	MvSl-1064-A2-R4_MC07g08171	57.57	57.57	0
MvSl-1064-A1-R4_MC01-1g02441	aAutosome	aAutosome	1	152	152	0	0	0	-0.630996588	0.770026565	0.567845222	0.416209415	0.837705346	1.306319565	NON	NON	0.492027	1.07201	MvSl-1064-A2-R4_MC01g02723	55.21	55.21	0
MvSl-1064-A1-R4_MC01-1g01909	aAutosome	aAutosome	1	74	74	0	0	0	-0.629852794	0.476398435	2.937391369	2.434458944	3.241678567	3.412822799	NON	NON	2.68593	3.32725	MvSl-1064-A2-R4_MC01g02190	59.3	59.3	0
MvSl-1064-A1-R4_MC16g12187	aAutosome	aAutosome	2	59	118	0	0	0	-0.628380477	0.548798621	3.397281046	2.52765961	3.542365116	3.748133847	NON	NON	2.96247	3.64525	MvSl-1064-A2-R4_MC16g12438	59.94	59.94	0
MvSl-1064-A1-R4_MC01-1g02552	aAutosome	aAutosome	3	45	135	0	0	0	-0.627744651	0.642119754	3.953190026	3.042643392	3.666888549	4.576075234	NON	NON	3.49792	4.12148	MvSl-1064-A2-R4_MC01g02834	59.79	59.79	0
MvSl-1064-A1-R4_MC06g06883	aAutosome	aAutosome	4	65.5	262	0	0	0	-0.625334876	0.603744492	3.107503004	3.204632753	3.184854654	4.19574139	NON	NON	3.15607	3.6903	MvSl-1064-A2-R4_MC06-1g07146	55.86	55.86	0
MvSl-1064-A1-R4_MC13g11377	aAutosome	aAutosome	1	0	0	0	0	0	-0.625064028	0.852632854	-0.074415509	-0.19990251	0.255270013	0.598137634	NON	NON	-0.137159	0.426704	MvSl-1064-A2-R4_MC13g11638	49.69	49.69	0
MvSl-1064-A1-R4_MC06g07248	aAutosome	aAutosome	1	0	0	0	0	0	-0.625022486	0.621441975	1.597790174	1.526290069	2.277022511	2.0577479	NON	NON	1.56204	2.16739	MvSl-1064-A2-R4_MC06-2g07513	47.06	47.06	0
MvSl-1064-A1-R4_MC08g08595	aAutosome	aAutosome	2	89.5	179	0	0	0	-0.624798386	0.066519041	5.4813842	5.640377925	6.302237545	6.06165448	NON	NON	5.56088	6.18195	MvSl-1064-A2-R4_MC08-1g08860	54.02	54.02	0
MvSl-1064-A1-R4_MC03g05260	aAutosome	aAutosome	2	167.5	335	0	0	0	-0.624661434	0.096732042	5.072543604	4.883796921	5.599989938	5.608672469	NON	NON	4.97817	5.60433	MvSl-1064-A2-R4_MC03g05537	58.42	58.42	0
MvSl-1064-A1-R4_MC03g04728	aAutosome	aAutosome	2	116	232	0	0	0	-0.621907748	0.781910022	0.344005256	1.003142346	1.504621577	1.075626088	NON	NON	0.673574	1.29012	MvSl-1064-A2-R4_MC03g05006	52.44	52.44	0
MvSl-1064-A1-R4_MC09-2g09120	aAutosome	aAutosome	1	162	162	0	0	0	-0.621526622	0.392472727	4.231984962	3.709754458	4.355032259	4.831196486	NON	NON	3.97087	4.59311	MvSl-1064-A2-R4_MC09g09395	61.48	61.48	0
MvSl-1064-A1-R4_MC05-1g06238	aAutosome	aAutosome	5	89.2	446	0	0	0	-0.620763524	0.477463542	2.381387512	2.434458944	3.064016796	2.975200748	NON	NON	2.40792	3.01961	MvSl-1064-A2-R4_MC05g06510	57.07	57.07	0
MvSl-1064-A1-R4_MC05-3g06788	aAutosome	aAutosome	2	113	226	0	0	0	-0.620467235	0.688528657	1.010700459	1.47372115	1.871636272	1.854061975	NON	NON	1.24221	1.86285	MvSl-1064-A2-R4_MC05g07052	54.19	54.19	0
MvSl-1064-A1-R4_MC01-2g03115	aAutosome	aAutosome	1	0	0	0	0	0	-0.620419056	0.509792159	2.649739241	2.305039023	2.957790562	3.228232045	NON	NON	2.47739	3.09301	MvSl-1064-A2-R4_MC01g03395	52.33	52.33	0
MvSl-1064-A1-R4_MC10-2g10101	aAutosome	aAutosome	3	68.6667	206	0	0	0	-0.620177281	0.667661809	1.255619132	1.303440845	1.759361847	1.992996033	NON	NON	1.27953	1.87618	MvSl-1064-A2-R4_MC10g10365	53.42	53.42	0
MvSl-1064-A1-R4_MC05-3g06705	aAutosome	aAutosome	1	61	61	0	0	0	-0.619484295	0.08473225	5.731799093	6.106342113	6.721622685	6.35525702	NON	NON	5.91907	6.53844	MvSl-1064-A2-R4_MC05g06969	55.49	55.49	0
MvSl-1064-A1-R4_MC07g07856	aAutosome	aAutosome	6	114.667	688	0	0	0	-0.619352982	0.53068653	3.005948977	2.775803248	3.140717979	3.801102805	NON	NON	2.89088	3.47091	MvSl-1064-A2-R4_MC07g08121	54.83	54.83	0
MvSl-1064-A1-R4_MC08g08781	aAutosome	aAutosome	2	124	248	0	0	0	-0.618911965	0.521029403	2.844169972	3.627925175	4.011320603	3.786848518	NON	NON	3.23605	3.89908	MvSl-1064-A2-R4_MC08-2g09062	50.1	50.1	0
MvSl-1064-A1-R4_MC08g08469	aAutosome	aAutosome	11	74.8182	823	0	0	0	-0.618868077	0.493620297	3.475347835	2.797353485	3.771899155	3.805823107	NON	NON	3.13635	3.78886	MvSl-1064-A2-R4_MC08-1g08734	56.26	56.26	0
MvSl-1064-A1-R4_MC07g07933	aAutosome	aAutosome	3	120.667	362	0	0	0	-0.618402438	0.429870097	9.578996971	9.539045748	10.33534902	10.00023537	NON	NON	9.55902	10.1678	MvSl-1064-A2-R4_MC07g08198	58.59	58.59	0
MvSl-1064-A1-R4_MC09-2g09159	aAutosome	aAutosome	5	93	465	0	0	0	-0.618244371	0.335326855	8.30874813	8.611346827	9.338921083	8.779333955	NON	NON	8.46005	9.05913	MvSl-1064-A2-R4_MC09g09434	56.22	56.22	0
MvSl-1064-A1-R4_MC10-1g09813	aAutosome	aAutosome	1	47	47	0	0	0	-0.617746152	0.779702416	0.667959508	0.359389254	1.011159771	1.195579039	NON	NON	0.513674	1.10337	MvSl-1064-A2-R4_MC10g10080	56.72	56.72	0
MvSl-1064-A1-R4_MC01-1g02816	aAutosome	aAutosome	1	0	0	0	0	0	-0.616954401	0.495517227	2.535111202	2.363996602	2.957790562	3.156131455	NON	NON	2.44955	3.05696	MvSl-1064-A2-R4_MC01g03098	57.95	57.95	0
MvSl-1064-A1-R4_MC07g07945	aAutosome	aAutosome	1	0	0	0	0	0	-0.616683008	0.533341755	2.321161424	2.320005831	3.110525061	2.719083278	NON	NON	2.32058	2.9148	MvSl-1064-A2-R4_MC07g08210	59.61	59.61	0
MvSl-1064-A1-R4_MC04-1g05679	aAutosome	aAutosome	1	151	151	0	0	0	-0.616557296	0.277843947	5.419896351	5.584145756	5.634880274	6.48232088	NON	NON	5.50202	6.0586	MvSl-1064-A2-R4_MC04-1g05955	54.87	54.87	0
MvSl-1064-A1-R4_MC09-2g09524	aAutosome	aAutosome	7	99.7143	698	0	0	0	-0.615955214	0.066692172	7.294094561	7.045793737	7.772484259	7.809045822	NON	NON	7.16994	7.79077	MvSl-1064-A2-R4_MC09g09798	54.38	54.38	0
MvSl-1064-A1-R4_MC02g03385	aAutosome	aAutosome	1	193	193	0	0	0	-0.615306046	0.61321826	2.36656505	1.785474181	2.571125451	2.834455465	NON	NON	2.07602	2.70279	MvSl-1064-A2-R4_MC02g03665	51.18	51.18	0
MvSl-1064-A1-R4_A1g01369	faBlack	NRR	5	103	515	-1	9.8333	-44	-0.615115419	0.310791406	8.69058312	8.783363721	9.537174271	9.141199327	NON	NON	8.73697	9.33919	MvSl-1064-A2-R4_A2g00773	59.28	59.18	0.1
MvSl-1064-A1-R4_MC17g12235	aAutosome	aAutosome	2	130	260	0	0	0	-0.613964535	0.538795865	2.258311223	2.674633466	2.914757103	3.242229634	NON	NON	2.46647	3.07849	MvSl-1064-A2-R4_MC17g12487	45.67	45.67	0
MvSl-1064-A1-R4_MC08g08496	aAutosome	aAutosome	3	87.3333	262	0	0	0	-0.613479332	0.192457403	6.048561394	5.668424009	6.110562595	6.779695287	NON	NON	5.85849	6.44513	MvSl-1064-A2-R4_MC08-1g08761	55.52	55.52	0
MvSl-1064-A1-R4_MC11g10531	aAutosome	aAutosome	2	220.5	441	0	0	0	-0.612698096	0.594763951	2.175690844	1.948447901	2.455775009	2.85281804	NON	NON	2.06207	2.6543	MvSl-1064-A2-R4_MC11g10793	56.33	56.33	0
MvSl-1064-A1-R4_MC01-1g01926	aAutosome	aAutosome	1	427	427	0	0	0	-0.612445442	0.237249022	4.24419979	4.06993116	4.653503257	4.876773237	NON	NON	4.15707	4.76514	MvSl-1064-A2-R4_MC01g02207	58.83	58.83	0
MvSl-1064-A1-R4_MC13g11381	aAutosome	aAutosome	3	82	246	0	0	0	-0.612265278	0.140106235	5.28254224	5.089947648	5.568405953	6.000173985	NON	NON	5.18624	5.78429	MvSl-1064-A2-R4_MC13g11642	56.23	56.23	0
MvSl-1064-A1-R4_MC02g03521	aAutosome	aAutosome	2	75.5	151	0	0	0	-0.609244459	0.887058954	0.217552452	-0.381684149	0.079379939	0.838231755	NON	NON	-0.0820658	0.458806	MvSl-1064-A2-R4_MC02g03799	58.97	58.97	0
MvSl-1064-A1-R4_MC10-1g09592	aAutosome	aAutosome	1	0	0	0	0	0	-0.608605959	0.73509597	0.849484255	0.965564	1.637606939	1.33272568	NON	NON	0.907524	1.48517	MvSl-1064-A2-R4_MC10g09859	61.73	61.73	0
MvSl-1064-A1-R4_MC07g07868	aAutosome	aAutosome	3	142	426	0	0	0	-0.608100328	0.243513104	4.510047566	4.82468222	5.485546605	5.045916288	NON	NON	4.66736	5.26573	MvSl-1064-A2-R4_MC07g08133	59.15	59.15	0
MvSl-1064-A1-R4_MC05-3g06802	aAutosome	aAutosome	1	151	151	0	0	0	-0.60809793	0.93976694	0.149911178	-0.706185577	-0.353702204	0.800889372	NON	NON	-0.278137	0.223594	MvSl-1064-A2-R4_MC05g07066	54.6	54.6	0
MvSl-1064-A1-R4_MC04-1g05673	aAutosome	aAutosome	3	78.6667	236	0	0	0	-0.608069532	0.173801071	6.589190525	6.402818057	6.69516362	7.426278701	NON	NON	6.496	7.06072	MvSl-1064-A2-R4_MC04-1g05949	60.86	60.86	0
