a2	GC3a2	A1gene	GC3a1	GC3diff	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	GC0A1	GC0A2	Godiff
MvSl-1064-A2-R4_MC01g02232	61.81	MvSl-1064-A1-R4_MC01-1g01951	61.81	0	aAutosome	aAutosome	6	95.1667	571	0	0	0	-0.12927132	0.999958419	6.338841848	5.859808815	6.070931923	6.405879306	NON	NON	6.09933	6.23841	57.37	57.37	0
MvSl-1064-A2-R4_MC01g02233	72.64	MvSl-1064-A1-R4_MC01-1g01952	72.64	0	aAutosome	aAutosome	2	185	370	0	0	0	0.612699943	0.042372202	7.38882989	7.455490679	6.885491192	6.730891925	DE	Up	7.42216	6.80819	57.24	57.24	0
MvSl-1064-A2-R4_MC01g02234	69.78	MvSl-1064-A1-R4_MC01-1g01953	69.78	0	aAutosome	aAutosome	2	68	136	0	0	0	0.10213019	0.999958419	5.9759551	6.140467773	6.034208456	5.878861945	NON	NON	6.05821	5.95654	57.48	57.48	0
MvSl-1064-A2-R4_MC01g02235	59.84	MvSl-1064-A1-R4_MC01-1g01954	59.84	0	aAutosome	aAutosome	5	80.6	403	0	0	0	0.231019224	0.896119404	6.312981815	6.12137151	5.851172846	6.115877994	NON	NON	6.21718	5.98353	58.29	58.29	0
MvSl-1064-A2-R4_MC01g02236	78.79	MvSl-1064-A1-R4_MC01-1g01955	78.79	0	aAutosome	aAutosome	2	85	170	0	0	0	0.13670451	0.999958419	8.689652989	9.022868127	8.919847172	8.509447516	NON	NON	8.85626	8.71465	57.24	57.24	0
MvSl-1064-A2-R4_MC01g02237	66.17	MvSl-1064-A1-R4_MC01-1g01956	66.17	0	aAutosome	aAutosome	1	0	0	0	0	0	-0.868141939	0.175289726	3.005948977	2.590727906	3.322926294	3.953514149	NON	NON	2.79834	3.63822	55.89	55.89	0
MvSl-1064-A2-R4_MC01g02238	59.61	MvSl-1064-A1-R4_MC01-1g01957	59.61	0	aAutosome	aAutosome	3	178	534	0	0	0	-0.738982325	0.013856551	6.630102205	6.387802672	7.022024983	7.450972341	DE	Down	6.50895	7.2365	56.35	56.35	0
MvSl-1064-A2-R4_MC01g02239	69.2	MvSl-1064-A1-R4_MC01-1g01958	69.2	0	aAutosome	aAutosome	1	60	60	0	0	0	-0.364748943	0.485847312	6.416452992	6.308413125	6.811758552	6.638656567	NON	NON	6.36243	6.72521	59.63	59.63	0
MvSl-1064-A2-R4_MC01g02240	62.02	MvSl-1064-A1-R4_MC01-1g01959	62.02	0	aAutosome	aAutosome	5	90.8	454	0	0	0	-0.308601846	0.710903094	6.113255244	6.425484672	6.690068312	6.474189403	NON	NON	6.26937	6.58213	56.52	56.52	0
MvSl-1064-A2-R4_MC01g02241	69.69	MvSl-1064-A1-R4_MC01-1g01960	69.69	0	aAutosome	aAutosome	2	178	356	0	0	0	-0.18047131	0.999958419	4.760192292	4.760300692	4.826003713	5.045916288	NON	NON	4.76025	4.93596	59.19	59.19	0
MvSl-1064-A2-R4_MC01g02242	63.64	MvSl-1064-A1-R4_MC01-1g01961	63.64	0	aAutosome	aAutosome	1	0	0	0	0	0	0.414629067	0.756364484	4.714098872	4.418271324	4.418023177	3.847624916	NON	NON	4.56619	4.13282	51.52	51.52	0
MvSl-1064-A2-R4_MC01g02243	62.59	MvSl-1064-A1-R4_MC01-1g01962	62.59	0	aAutosome	aAutosome	6	117.333	704	0	0	0	0.551845964	0.214672939	5.991737907	6.507038614	5.831639983	5.601903285	NON	NON	6.24939	5.71677	57.73	57.73	0
MvSl-1064-A2-R4_MC01g02244	67.05	MvSl-1064-A1-R4_MC01-1g01963	67.05	0	aAutosome	aAutosome	1	0	0	0	0	0	0.234146699	0.969431244	4.999964312	5.471364449	5.147403428	4.883487243	NON	NON	5.23566	5.01545	55.3	55.3	0
MvSl-1064-A2-R4_MC01g02245	66.3	MvSl-1064-A1-R4_MC01-1g01964	66.3	0	aAutosome	aAutosome	1	0	0	0	0	0	0.154196112	0.999958419	3.536220791	3.754511194	3.656477091	3.31687906	NON	NON	3.64537	3.48668	56.52	56.52	0
MvSl-1064-A2-R4_MC01g02246	63.51	MvSl-1064-A1-R4_MC01-1g01965	63.51	0	aAutosome	aAutosome	5	85.8	429	0	0	0	-0.201068883	0.999958419	3.536220791	3.560207697	3.581413948	3.89712398	NON	NON	3.54821	3.73927	55.45	55.45	0
MvSl-1064-A2-R4_MC01g02247	65.14	MvSl-1064-A1-R4_MC01-1g01966	65.14	0	aAutosome	aAutosome	1	93	93	0	0	0	0.057718419	0.999958419	5.527089394	5.323246575	5.448309363	5.289489153	NON	NON	5.42517	5.3689	59.78	59.78	0
MvSl-1064-A2-R4_MC01g02248	65.8	MvSl-1064-A1-R4_MC01-1g01967	65.8	0	aAutosome	aAutosome	3	74.3333	223	0	0	0	0.408868505	0.531593845	5.403652308	5.372534099	5.055302045	4.901239989	NON	NON	5.38809	4.97827	60.01	60.01	0
MvSl-1064-A2-R4_MC01g02249	66.44	MvSl-1064-A1-R4_MC01-1g01968	66.44	0	aAutosome	aAutosome	6	86.8333	521	0	0	0	0.144939396	0.999958419	6.503713026	6.344542744	6.253849969	6.308625653	NON	NON	6.42413	6.28124	57.74	57.74	0
MvSl-1064-A2-R4_MC01g02250	75.75	MvSl-1064-A1-R4_MC01-1g01969	75.75	0	aAutosome	aAutosome	2	98	196	0	0	0	0.17140639	0.999958419	7.831134836	6.774847975	7.032630716	7.396859702	NON	NON	7.30299	7.21475	59.19	59.19	0
MvSl-1064-A2-R4_MC01g02251	61.06	MvSl-1064-A1-R4_MC01-1g01970	61.06	0	aAutosome	aAutosome	1	0	0	0	0	0	-2.966533646	2.17E-30	5.830965307	5.617844601	8.476334294	8.880687087	DE	Down	5.7244	8.67851	52.72	52.72	0
MvSl-1064-A2-R4_MC01g02252	55.32	MvSl-1064-A1-R4_MC01-1g01971	55.32	0	aAutosome	aAutosome	1	105	105	0	0	0	0.500916314	0.999958419	-0.793556811	2.094865753	1.481214837	-0.532256666	NON	NON	0.650654	0.474479	52.48	52.48	0
MvSl-1064-A2-R4_MC01g02253	65.14	MvSl-1064-A1-R4_MC01-1g01972	65.14	0	aAutosome	aAutosome	14	65.7143	920	0	0	0	-0.105174982	0.999958419	7.61770263	7.363225205	7.520264507	7.677763124	NON	NON	7.49046	7.59901	55.74	55.74	0
MvSl-1064-A2-R4_MC01g02254	76.56	MvSl-1064-A1-R4_MC01-1g01973	76.56	0	aAutosome	aAutosome	3	75.3333	226	0	0	0	0.063992047	0.999958419	6.811374017	6.97486676	6.942843097	6.710898745	NON	NON	6.89312	6.82687	57.29	57.29	0
MvSl-1064-A2-R4_MC01g02255	65.64	MvSl-1064-A1-R4_MC01-1g01974	65.64	0	aAutosome	aAutosome	6	63.5	381	0	0	0	-0.02056067	0.999958419	7.211483577	7.063688595	7.073312714	7.241774171	NON	NON	7.13759	7.15754	57.68	57.68	0
MvSl-1064-A2-R4_MC01g02256	60.36	MvSl-1064-A1-R4_MC01-1g01975	60.36	0	aAutosome	aAutosome	9	71	639	0	0	0	0.299009704	0.770948516	5.984474983	5.837878894	5.47225165	5.743947343	NON	NON	5.91118	5.6081	55.82	55.82	0
MvSl-1064-A2-R4_MC01g02257	67.3	MvSl-1064-A1-R4_MC01-1g01976	67.3	0	aAutosome	aAutosome	1	0	0	0	0	0	0.377419983	0.93118127	4.194707427	5.098653111	4.702400883	3.856751988	NON	NON	4.64668	4.27958	60.76	60.76	0
MvSl-1064-A2-R4_MC01g02258	67.33	MvSl-1064-A1-R4_MC01-1g01977	67.33	0	aAutosome	aAutosome	3	63.3333	190	0	0	0	-0.810965792	0.098903788	3.227203374	3.435188881	4.090797988	4.188530358	NON	NON	3.3312	4.13966	58.43	58.43	0
MvSl-1064-A2-R4_MC01g02259	58.44	MvSl-1064-A1-R4_MC01-1g01978	58.44	0	aAutosome	aAutosome	1	163	163	0	0	0	0.239213673	0.999958419	4.448035886	4.029528692	3.707798902	4.269357738	NON	NON	4.23878	3.98858	55.84	55.84	0
MvSl-1064-A2-R4_MC01g02263	56.9	MvSl-1064-A1-R4_MC01-1g01982	56.9	0	aAutosome	aAutosome	1	0	0	0	0	0	-0.336278801	0.917759651	3.125223213	3.172008517	3.329494841	3.619986045	NON	NON	3.14862	3.47474	56.03	56.03	0
MvSl-1064-A2-R4_MC01g02264	59.43	MvSl-1064-A1-R4_MC01-1g01983	59.43	0	aAutosome	aAutosome	1	0	0	0	0	0	0.310222957	0.999958419	0.932343106	1.241901245	0.682164173	0.910136229	NON	NON	1.08712	0.79615	60.06	60.06	0
MvSl-1064-A2-R4_MC01g02265	67	MvSl-1064-A1-R4_MC01-1g01984	67	0	aAutosome	aAutosome	2	126.5	253	0	0	0	0.304117305	0.655548182	7.135922302	7.192786111	6.936940602	6.780295002	NON	NON	7.16435	6.85862	57.67	57.67	0
MvSl-1064-A2-R4_MC01g02266	62.72	MvSl-1064-A1-R4_MC01-1g01985	62.72	0	aAutosome	aAutosome	4	86.5	346	0	0	0	0.567351654	0.123786341	6.411948318	6.581125276	6.132326864	5.700250046	NON	NON	6.49654	5.91629	55.07	55.07	0
MvSl-1064-A2-R4_MC01g02267	52.46	MvSl-1064-A1-R4_MC01-1g01986	52.46	0	aAutosome	aAutosome	2	219.5	439	0	0	0	0.060252115	0.999958419	0.972053696	0.926980603	0.837705346	0.944787738	NON	NON	0.949517	0.891247	54.1	54.1	0
MvSl-1064-A2-R4_MC01g02268	70.41	MvSl-1064-A1-R4_MC01-1g01987	70.41	0	aAutosome	aAutosome	4	209	836	0	0	0	0.15001829	0.999958419	9.812927186	10.07866772	9.896664421	9.700484047	NON	NON	9.9458	9.79857	58.89	58.89	0
MvSl-1064-A2-R4_MC01g02269	67.59	MvSl-1064-A1-R4_MC01-1g01988	67.59	0	aAutosome	aAutosome	6	102.667	616	0	0	0	0.098644359	0.999958419	9.767720872	9.958277196	9.838056194	9.693337314	NON	NON	9.863	9.7657	54.99	54.99	0
MvSl-1064-A2-R4_MC01g02270	59.85	MvSl-1064-A1-R4_MC01-1g01989	59.85	0	aAutosome	aAutosome	6	77.8333	467	0	0	0	-0.165720362	0.999958419	3.751183475	3.342947025	3.672066237	3.777266812	NON	NON	3.54707	3.72467	57.86	57.86	0
MvSl-1064-A2-R4_MC01g02271	57.97	MvSl-1064-A1-R4_MC01-1g01990	57.97	0	aAutosome	aAutosome	1	100	100	0	0	0	-0.21897146	0.932251231	5.705536579	5.631406785	5.851172846	5.922979896	NON	NON	5.66847	5.88708	58.63	58.63	0
MvSl-1064-A2-R4_MC01g02273	69.53	MvSl-1064-A1-R4_MC01-1g01992	69.53	0	aAutosome	aAutosome	5	67.8	339	0	0	0	-0.469743847	0.292065851	7.277352245	7.502169158	7.882105724	7.845034266	NON	NON	7.38976	7.86357	59.91	59.91	0
MvSl-1064-A2-R4_MC01g02274	62.47	MvSl-1064-A1-R4_MC01-1g01993	62.47	0	aAutosome	aAutosome	10	111.7	1117	0	0	0	0.589966097	0.410320692	9.066610707	9.603350342	8.815212628	8.723207164	NON	NON	9.33498	8.76921	56.62	56.62	0
MvSl-1064-A2-R4_MC01g02275	58.62	MvSl-1064-A1-R4_MC01-1g01994	58.62	0	aAutosome	aAutosome	1	0	0	0	0	0	-1.0722881	0.395440455	0.460262101	0.670919777	2.134258855	0.723173516	NON	NON	0.565591	1.42872	57.47	57.47	0
MvSl-1064-A2-R4_MC01g02276	64.94	MvSl-1064-A1-R4_MC01-1g01995	64.94	0	aAutosome	aAutosome	6	81	486	0	0	0	0.241699967	0.999958419	4.07672185	5.29890126	4.757023235	4.362010733	NON	NON	4.68781	4.55952	55.41	55.41	0
MvSl-1064-A2-R4_MC01g02278	57.84	MvSl-1064-A1-R4_MC01-1g01997	57.84	0	aAutosome	aAutosome	4	83	332	0	0	0	-0.00500707	0.999958419	3.728176481	3.737889705	3.692593143	3.78206562	NON	NON	3.73303	3.73733	54.41	54.41	0
MvSl-1064-A2-R4_MC01g02279	65.2	MvSl-1064-A1-R4_MC01-1g01998	65.2	0	aAutosome	aAutosome	3	75.3333	226	0	0	0	0.330843675	0.861602437	8.858236875	9.294834148	8.845031196	8.674357449	NON	NON	9.07654	8.75969	57.08	57.08	0
MvSl-1064-A2-R4_MC01g02280	64.71	MvSl-1064-A1-R4_MC01-1g01999	64.71	0	aAutosome	aAutosome	1	161	161	0	0	0	0.108155131	0.999958419	11.14733277	12.16425839	11.86143167	11.36737606	NON	NON	11.6558	11.6144	59.31	59.31	0
MvSl-1064-A2-R4_MC01g02281	64.18	MvSl-1064-A1-R4_MC01-1g02000	64.18	0	aAutosome	aAutosome	1	89	89	0	0	0	0.280444767	0.772696662	6.922591168	7.184120925	6.93855277	6.599773633	NON	NON	7.05336	6.76916	56	56	0
MvSl-1064-A2-R4_MC01g02282	62.56	MvSl-1064-A1-R4_MC01-1g02001	62.56	0	aAutosome	aAutosome	2	69	138	0	0	0	-0.056390565	0.999958419	5.496780711	5.611775797	5.661156315	5.560607318	NON	NON	5.55428	5.61088	56.79	56.79	0
MvSl-1064-A2-R4_MC01g02283	67.28	MvSl-1064-A1-R4_MC01-1g02002	67.28	0	aAutosome	aAutosome	5	76.4	382	0	0	0	-0.412332342	0.444900415	6.353010734	5.924891012	6.472149817	6.655098565	NON	NON	6.13895	6.56362	56.2	56.2	0
MvSl-1064-A2-R4_MC01g02284	64.26	MvSl-1064-A1-R4_MC01-1g02003	64.26	0	aAutosome	aAutosome	2	59	118	0	0	0	-0.007423973	0.999958419	6.320692489	6.301831449	6.327067443	6.310287614	NON	NON	6.31126	6.31868	58.02	58.02	0
MvSl-1064-A2-R4_MC01g02286	70	MvSl-1064-A1-R4_MC01-1g02005	70	0	aAutosome	aAutosome	3	68.6667	206	0	0	0	0.601217278	0.870826229	0.618770606	0.30023917	-0.353702204	0.140931413	NON	NON	0.459505	-0.106385	59.47	59.47	0
MvSl-1064-A2-R4_MC01g02288	66.99	MvSl-1064-A1-R4_MC01-1g02007	66.99	0	aAutosome	aAutosome	5	76.8	384	0	0	0	-0.666662059	0.070274805	4.708232253	4.860952679	5.454332288	5.44886493	NON	NON	4.78459	5.4516	58.81	58.81	0
MvSl-1064-A2-R4_MC01g02289	66.35	MvSl-1064-A1-R4_MC01-1g02008	66.35	0	aAutosome	aAutosome	4	62.75	251	0	0	0	-0.064326784	0.999958419	7.864816671	7.128352996	6.98089249	8.042681962	NON	NON	7.49658	7.51179	59.72	59.72	0
MvSl-1064-A2-R4_MC01g02290	71.61	MvSl-1064-A1-R4_MC01-1g02009	71.61	0	aAutosome	aAutosome	1	172	172	0	0	0	-0.169261616	0.999958419	8.066873279	7.73076456	7.744801501	8.34811313	NON	NON	7.89882	8.04646	59.51	59.51	0
MvSl-1064-A2-R4_MC01g02291	66.2	MvSl-1064-A1-R4_MC01-1g02010	66.2	0	aAutosome	aAutosome	13	102.923	1338	0	0	0	-0.059272209	0.999958419	8.764176076	8.525984243	8.587034832	8.821899055	NON	NON	8.64508	8.70447	57.53	57.53	0
MvSl-1064-A2-R4_MC01g02292	59.61	MvSl-1064-A1-R4_MC01-1g02011	59.61	0	aAutosome	aAutosome	9	69	621	0	0	0	-0.272195544	0.943680004	8.966950487	8.799972843	9.240628472	9.070390537	NON	NON	8.88346	9.15551	56.27	56.27	0
MvSl-1064-A2-R4_MC01g02293	57.89	MvSl-1064-A1-R4_MC01-1g02012	57.89	0	aAutosome	aAutosome	1	0	0	0	0	0	-0.912455625	0.23870467	1.223075167	1.272999149	2.00891518	2.250123033	NON	NON	1.24804	2.12952	50.18	50.18	0
MvSl-1064-A2-R4_MC01g02294	60.42	MvSl-1064-A1-R4_MC01-1g02013	60.42	0	aAutosome	aAutosome	2	158.5	317	0	0	0	0.134886612	0.999958419	6.74200478	7.32987869	7.310089708	6.41517637	NON	NON	7.03594	6.86263	53.82	53.82	0
MvSl-1064-A2-R4_MC01g02295	53.8	MvSl-1064-A1-R4_MC01-1g02014	53.8	0	aAutosome	aAutosome	4	89	356	0	0	0	0.020548712	0.999958419	3.536220791	3.726701363	3.478784	3.738290644	NON	NON	3.63146	3.60854	52.36	52.36	0
MvSl-1064-A2-R4_MC01g02296	68.27	MvSl-1064-A1-R4_MC01-1g02015	68.27	0	aAutosome	aAutosome	1	245	245	0	0	0	-0.136517356	0.999958419	6.571526282	6.258788252	6.368321605	6.72902929	NON	NON	6.41516	6.54868	61.6	61.6	0
MvSl-1064-A2-R4_MC01g02297	66.1	MvSl-1064-A1-R4_MC01-1g02016	66.1	0	aAutosome	aAutosome	5	87.2	436	0	0	0	-0.172516119	0.999958419	3.662947434	5.141409485	5.189534936	4.133267183	NON	NON	4.40218	4.6614	53.08	53.08	0
MvSl-1064-A2-R4_MC01g02298	59.92	MvSl-1064-A1-R4_MC01-1g02017	59.92	0	aAutosome	aAutosome	4	107.75	431	0	0	0	-0.08565705	0.999958419	6.69234827	6.609574233	6.737144783	6.737083396	NON	NON	6.65096	6.73711	58.87	58.87	0
MvSl-1064-A2-R4_MC01g02299	64.31	MvSl-1064-A1-R4_MC01-1g02018	64.31	0	aAutosome	aAutosome	1	89	89	0	0	0	0.290339787	0.846425294	5.329157987	5.347187874	5.214590519	4.860984633	NON	NON	5.33817	5.03779	61.84	61.84	0
MvSl-1064-A2-R4_MC01g02300	63.55	MvSl-1064-A1-R4_MC01-1g02019	63.55	0	aAutosome	aAutosome	2	97	194	0	0	0	0.123473317	0.999958419	4.743079372	3.987962079	3.672066237	4.723058403	NON	NON	4.36552	4.19756	52.02	52.02	0
MvSl-1064-A2-R4_MC01g02301	59.58	MvSl-1064-A1-R4_MC01-1g02020	59.58	0	aAutosome	aAutosome	1	89	89	0	0	0	-0.415770916	0.610891197	6.443189599	5.728551336	6.364328839	6.705225379	NON	NON	6.08587	6.53478	59.93	59.93	0
MvSl-1064-A2-R4_MC01g02302	60.59	MvSl-1064-A1-R4_MC01-1g02021	60.59	0	aAutosome	aAutosome	3	164	492	0	0.333	1	-0.02935799	0.999958419	6.875598566	6.719483157	6.806471016	6.851080107	NON	NON	6.79754	6.82878	59.02	59.02	0
MvSl-1064-A2-R4_MC01g02303	51.14	MvSl-1064-A1-R4_MC01-1g02022	51.14	0	aAutosome	aAutosome	2	93.5	187	0	0	0	1.014272522	0.015025474	4.160743364	4.332305934	3.177591675	3.303590591	DE	Up	4.24652	3.24059	53.41	53.41	0
MvSl-1064-A2-R4_MC01g02304	67.65	MvSl-1064-A1-R4_MC01-1g02023	67.65	0	aAutosome	aAutosome	1	96	96	0	0	0	-0.688895621	0.636604887	0.891508457	1.11033882	1.383594751	1.907742248	NON	NON	1.00092	1.64567	52.94	52.94	0
MvSl-1064-A2-R4_MC01g02305	54.55	MvSl-1064-A1-R4_MC01-1g02024	54.55	0	aAutosome	aAutosome	1	0	0	0	0	0	0.600595955	0.85580916	1.255619132	0.761418038	-0.120970938	0.874631914	NON	NON	1.00852	0.37683	53.33	53.33	0
MvSl-1064-A2-R4_MC01g02306	67.46	MvSl-1064-A1-R4_MC01-1g02025	67.46	0	aAutosome	aAutosome	3	49	147	0	0	0	-0.171206757	0.999958419	3.882014861	3.84524514	3.940142019	4.121955903	NON	NON	3.86363	4.03105	57.14	57.14	0
MvSl-1064-A2-R4_MC01g02307	63.04	MvSl-1064-A1-R4_MC01-1g02026	63.04	0	aAutosome	aAutosome	4	80.5	322	0	0	0	0.018763144	0.999958419	4.401531678	4.272011204	4.279020277	4.35880215	NON	NON	4.33677	4.31891	57.03	57.03	0
MvSl-1064-A2-R4_MC01g02308	66.8	MvSl-1064-A1-R4_MC01-1g02027	66.8	0	aAutosome	aAutosome	6	96.8333	581	0	0	0	-0.22834734	0.999958419	3.185584092	3.371962378	3.393586075	3.614615601	NON	NON	3.27877	3.5041	59.53	59.53	0
MvSl-1064-A2-R4_MC01g02309	46.15	MvSl-1064-A1-R4_MC01-1g02028	46.15	0	aAutosome	aAutosome	1	0	0	0	0	0	0.282704886	0.999958419	0.217552452	0.716878395	0.198989447	0.255781302	NON	NON	0.467215	0.227385	47.86	47.86	0
MvSl-1064-A2-R4_MC01g02310	61.4	MvSl-1064-A1-R4_MC01-1g02029	61.4	0	aAutosome	aAutosome	9	69.7778	628	0	0	0	-0.031291191	0.999958419	7.534776301	7.280521142	7.329470879	7.551006729	NON	NON	7.40765	7.44024	56	56	0
MvSl-1064-A2-R4_MC01g02311	62.66	MvSl-1064-A1-R4_MC01-1g02030	62.66	0	aAutosome	aAutosome	4	67.25	269	0	0	0	-0.052055201	0.999958419	5.294338144	5.098653111	5.29733483	5.204460987	NON	NON	5.1965	5.2509	54.57	54.57	0
MvSl-1064-A2-R4_MC01g02312	67.44	MvSl-1064-A1-R4_MC01-1g02031	67.44	0	aAutosome	aAutosome	2	73.5	147	0	0	0	-0.217757761	0.996578705	7.487178199	6.824235163	7.136014387	7.641914981	NON	NON	7.15571	7.38896	58.47	58.47	0
MvSl-1064-A2-R4_MC01g02313	69.75	MvSl-1064-A1-R4_MC01-1g02032	69.75	0	aAutosome	aAutosome	6	67.5	405	0	0	0	0.03043606	0.999958419	7.404787391	7.260780272	7.229412487	7.37518914	NON	NON	7.33278	7.3023	56.7	56.7	0
MvSl-1064-A2-R4_MC01g02314	65.68	MvSl-1064-A1-R4_MC01-1g02033	65.68	0	aAutosome	aAutosome	1	139	139	0	0	0	0.119938362	0.999958419	6.01924524	6.161393537	5.976785778	5.9678961	NON	NON	6.09032	5.97234	56.79	56.79	0
MvSl-1064-A2-R4_MC01g02315	65.22	MvSl-1064-A1-R4_MC01-1g02034	65.22	0	aAutosome	aAutosome	2	77	154	0	0	0	0.543213243	0.50736537	8.328004143	9.053134893	8.3757959	7.982716631	NON	NON	8.69057	8.17926	55.89	55.89	0
MvSl-1064-A2-R4_MC01g02316	62.71	MvSl-1064-A1-R4_MC01-1g02035	62.71	0	aAutosome	aAutosome	3	81.6667	245	0	0	0	0.239064993	0.950573282	7.856884003	8.342326652	7.939858049	7.819586885	NON	NON	8.09961	7.87972	55.85	55.85	0
MvSl-1064-A2-R4_MC01g02317	61.07	MvSl-1064-A1-R4_MC01-1g02036	61.07	0	aAutosome	aAutosome	3	72.6667	218	0	0	0	0.142415365	0.999958419	5.226182355	5.81164482	5.436187552	5.376145248	NON	NON	5.51891	5.40617	51.07	51.07	0
MvSl-1064-A2-R4_MC01g02318	68.85	MvSl-1064-A1-R4_MC01-1g02037	68.85	0	aAutosome	aAutosome	5	92.6	463	0	0	0	-0.025794027	0.999958419	9.024739249	9.605069781	9.659686157	9.006344544	NON	NON	9.3149	9.33302	56.56	56.56	0
MvSl-1064-A2-R4_MC01g02319	55.17	MvSl-1064-A1-R4_MC01-1g02038	55.17	0	aAutosome	aAutosome	3	98	294	0	0	0	-0.074886489	0.999958419	3.50272005	3.528343894	3.630114904	3.548560813	NON	NON	3.51553	3.58934	54.19	54.19	0
MvSl-1064-A2-R4_MC01g02320	69.06	MvSl-1064-A1-R4_MC01-1g02039	69.06	0	aAutosome	aAutosome	1	80	80	0	0	0	0.020822065	0.999958419	7.161372738	7.154681299	7.178474943	7.094752515	NON	NON	7.15803	7.13661	61.44	61.44	0
MvSl-1064-A2-R4_MC01g02321	54.79	MvSl-1064-A1-R4_MC01-1g02040	54.79	0	aAutosome	aAutosome	1	0	0	0	0	0	-0.374624024	0.820818633	4.416000981	4.557388082	5.18229554	4.44907074	NON	NON	4.48669	4.81568	53.88	53.88	0
MvSl-1064-A2-R4_MC01g02322	62.79	MvSl-1064-A1-R4_MC01-1g02041	62.79	0	aAutosome	aAutosome	1	89	89	0	0	0	0.830252161	0.503205897	1.048338907	1.333253455	0.507804335	0.309950185	NON	NON	1.1908	0.408877	60.47	60.47	0
MvSl-1064-A2-R4_MC01g02323	61.33	MvSl-1064-A1-R4_MC01-1g02042	61.33	0	aAutosome	aAutosome	1	0	0	0	0	0	0.064900809	0.999958419	6.210878201	6.192223858	6.450467532	5.735313125	NON	NON	6.20155	6.09289	56.72	56.72	0
MvSl-1064-A2-R4_MC01g02324	77.19	MvSl-1064-A1-R4_MC01-1g02043	77.19	0	aAutosome	aAutosome	3	118.667	356	0	0	0	-0.045707521	0.999958419	4.93111481	5.143514399	5.32389424	4.803142905	NON	NON	5.03731	5.06352	55.85	55.85	0
MvSl-1064-A2-R4_MC01g02325	73.87	MvSl-1064-A1-R4_MC01-1g02044	73.87	0	aAutosome	aAutosome	5	86.8	434	0	0	0	-0.18195575	0.993758769	5.419896351	5.304555984	5.470766842	5.615410039	NON	NON	5.36223	5.54309	58.46	58.46	0
MvSl-1064-A2-R4_MC01g02326	66.42	MvSl-1064-A1-R4_MC01-1g02045	66.42	0	aAutosome	aAutosome	7	98	686	0	0	0	-0.025904738	0.999958419	6.034563964	4.923536679	5.320600931	5.849444409	NON	NON	5.47905	5.58502	56.79	56.79	0
MvSl-1064-A2-R4_MC01g02327	66.04	MvSl-1064-A1-R4_MC01-1g02046	66.04	0	aAutosome	aAutosome	1	0	0	0	0	0	-1.334822507	0.002006165	2.732995298	2.349481544	3.677225409	4.048181704	DE	Down	2.54124	3.8627	59.43	59.43	0
MvSl-1064-A2-R4_MC01g02328	55.7	MvSl-1064-A1-R4_MC01-1g02047	55.7	0	aAutosome	aAutosome	1	0	0	0	0	0	-0.293480427	0.836952696	4.990327558	5.158163431	5.239218374	5.489040075	NON	NON	5.07425	5.36413	58.65	58.65	0
MvSl-1064-A2-R4_MC01g02329	49.38	MvSl-1064-A1-R4_MC01-1g02048	49.38	0	aAutosome	aAutosome	2	88	176	0	0	0	-0.331530232	0.812807062	4.62660539	4.999875716	5.033340885	5.269124624	NON	NON	4.81324	5.15123	54.73	54.73	0
MvSl-1064-A2-R4_MC01g02330	68.84	MvSl-1064-A1-R4_MC01-1g02049	68.84	0	aAutosome	aAutosome	16	88.3125	1413	0	0	0	-0.135403633	0.999958419	5.89563355	5.83527685	5.863672278	6.126293678	NON	NON	5.86546	5.99498	56.98	56.98	0
MvSl-1064-A2-R4_MC01g02331	60.98	MvSl-1064-A1-R4_MC01-1g02050	60.98	0	aAutosome	aAutosome	3	64	192	0	0	0	0.112601291	0.999958419	3.142728407	3.275446816	3.140717979	3.056667816	NON	NON	3.20909	3.09869	57.72	57.72	0
MvSl-1064-A2-R4_MC01g02332	65.56	MvSl-1064-A1-R4_MC01-1g02051	65.56	0	aAutosome	aAutosome	8	81	648	0	0	0	-0.042525799	0.999958419	7.733425607	7.565944735	7.694165964	7.695040592	NON	NON	7.64969	7.6946	55.74	55.74	0
MvSl-1064-A2-R4_MC01g02333	69.91	MvSl-1064-A1-R4_MC01-1g02052	69.91	0	aAutosome	aAutosome	6	72.5	435	0	0	0	0.205211265	0.999958419	9.142803274	9.720254002	9.492691858	8.97040064	NON	NON	9.43153	9.23155	58.66	58.66	0
MvSl-1064-A2-R4_MC01g02334	61.05	MvSl-1064-A1-R4_MC01-1g02053	61.05	0	aAutosome	aAutosome	2	78.5	157	0	0	0	0.174371736	0.999958419	3.845065665	4.476205828	4.031604177	4.011874045	NON	NON	4.16064	4.02174	52.39	52.39	0
MvSl-1064-A2-R4_MC01g02335	60.43	MvSl-1064-A1-R4_MC01-1g02054	60.43	0	aAutosome	aAutosome	5	88.6	443	0	0	0	-0.047722985	0.999958419	6.103231326	6.357294775	6.360324992	6.202550388	NON	NON	6.23026	6.28144	55.92	55.92	0
