Gene	Genomicloc	intronnra1	intronmeana1	introntotala1	Genea2	intronnra2	intronmeana2	introntotala2	intronnrdiff	intronmeandiff	introntotaldiff	genea1v	loc	start	end	Logfc
MvSl-1064-A1-R4_MC10-1g09785	Autosome	5	155.8	779	MvSl-1064-A2-R4_MC10g10052	5	155.8	779	0	0	0	MvSl-1064-A1-R4_MC10-1g09785	MvSl-1064-A1-R4_MC10-2	Chr10	284000	284197	1.84110698592269
MvSl-1064-A1-R4_MC10-1g09814	Autosome	6	93.3333	560	MvSl-1064-A2-R4_MC10g10081	6	93.3333	560	0	0	0	MvSl-1064-A1-R4_MC10-1g09814	MvSl-1064-A1-R4_MC10-2	Chr10	316220	317941	1.8843143193421
MvSl-1064-A1-R4_MC10-2g09885	Autosome	1	372	372	MvSl-1064-A2-R4_MC10g10149	1	372	372	0	0	0	MvSl-1064-A1-R4_MC10-2g09885	MvSl-1064-A1-R4_MC10-1	Chr10	398901	400457	3.67682850675029
MvSl-1064-A1-R4_MC10-2g09933	Autosome	1	271	271	MvSl-1064-A2-R4_MC10g10197	1	271	271	0	0	0	MvSl-1064-A1-R4_MC10-2g09933	MvSl-1064-A1-R4_MC10-2	Chr10	451155	452243	3.78162484729256
MvSl-1064-A1-R4_MC10-2g10026	Autosome	5	185.6	928	MvSl-1064-A2-R4_MC10g10290	5	185.6	928	0	0	0	MvSl-1064-A1-R4_MC10-2g10026	MvSl-1064-A1-R4_MC10-2	Chr10	575022	576333	0.610271596330954
MvSl-1064-A1-R4_MC10-2g10098	Autosome	3	126.667	380	MvSl-1064-A2-R4_MC10g10362	3	126.667	380	0	0	0	MvSl-1064-A1-R4_MC10-2g10098	MvSl-1064-A1-R4_MC10-2	Chr10	695051	697492	1.14433992624399
MvSl-1064-A1-R4_MC11g10594	Autosome	7	84.7143	593	MvSl-1064-A2-R4_MC11g10858	7	84.7143	593	0	0	0	MvSl-1064-A1-R4_MC11g10594	MvSl-1064-A1-R4_MC11	Chr11	1101395	1103865	1.17100993956613
MvSl-1064-A1-R4_MC11g10618	Autosome	8	138.375	1107	MvSl-1064-A2-R4_MC11g10882	8	138.375	1107	0	0	0	MvSl-1064-A1-R4_MC11g10618	MvSl-1064-A1-R4_MC11	Chr11	1160696	1164186	1.8694174128568
MvSl-1064-A1-R4_MC11g10688	Autosome	1	140	140	MvSl-1064-A2-R4_MC11g10952	1	140	140	0	0	0	MvSl-1064-A1-R4_MC11g10688	MvSl-1064-A1-R4_MC11	Chr11	1342717	1345035	1.57218568524949
MvSl-1064-A1-R4_MC12g10761	Autosome	4	82.75	331	MvSl-1064-A2-R4_MC12g11024	4	82.75	331	0	0	0	MvSl-1064-A1-R4_MC12g10761	MvSl-1064-A1-R4_MC12	Chr12	87886	92708	1.28677449556131
MvSl-1064-A1-R4_MC12g10810	Autosome	1	55	55	MvSl-1064-A2-R4_MC12g11073	1	55	55	0	0	0	MvSl-1064-A1-R4_MC12g10810	MvSl-1064-A1-R4_MC12	Chr12	211548	214912	3.06778641890712
MvSl-1064-A1-R4_MC12g10849	Autosome	2	98	196	MvSl-1064-A2-R4_MC12g11112	2	98	196	0	0	0	MvSl-1064-A1-R4_MC12g10849	MvSl-1064-A1-R4_MC12	Chr12	315412	315903	1.85498075087769
MvSl-1064-A1-R4_MC12g11286	Autosome	8	268.875	2151	MvSl-1064-A2-R4_C30g01930	8	268.875	2151	0	0	0	MvSl-1064-A1-R4_MC12g11286	MvSl-1064-A1-R4_MC01-1	Chr01	27347	32415	1.59814860796678
MvSl-1064-A1-R4_MC13g11330	Autosome	5	80.6	403	MvSl-1064-A2-R4_MC13g11591	5	80.6	403	0	0	0	MvSl-1064-A1-R4_MC13g11330	MvSl-1064-A1-R4_MC13	Chr13	154196	158501	0.743834964759245
MvSl-1064-A1-R4_MC13g11331	Autosome	11	69.7273	767	MvSl-1064-A2-R4_MC13g11592	11	69.7273	767	0	0	0	MvSl-1064-A1-R4_MC13g11331	MvSl-1064-A1-R4_MC13	Chr13	158550	159079	2.28234636472811
MvSl-1064-A1-R4_MC13g11429	Autosome	2	76	152	MvSl-1064-A2-R4_MC13g11690	2	76	152	0	0	0	MvSl-1064-A1-R4_MC13g11429	MvSl-1064-A1-R4_MC13	Chr13	377143	378651	7.31749550149564
MvSl-1064-A1-R4_MC13g11645	Autosome	8	94	752	MvSl-1064-A2-R4_MC13g11906	8	94	752	0	0	0	MvSl-1064-A1-R4_MC13g11645	MvSl-1064-A1-R4_MC13	Chr13	884408	885523	0.961665249367034
MvSl-1064-A1-R4_MC14g11845	Autosome	7	128.143	897	MvSl-1064-A2-R4_MC14g12106	7	128.143	897	0	0	0	MvSl-1064-A1-R4_MC14g11845	MvSl-1064-A1-R4_MC14	Chr14	294736	295985	1.890821084962
MvSl-1064-A1-R4_MC14g11898	Autosome	2	154.5	309	MvSl-1064-A2-R4_MC14g12159	2	154.5	309	0	0	0	MvSl-1064-A1-R4_MC14g11898	MvSl-1064-A1-R4_MC14	Chr14	434183	434753	1.90111057923671
MvSl-1064-A1-R4_MC15g12029	Autosome	5	163.8	819	MvSl-1064-A2-R4_MC15g12278	5	163.8	819	0	0	0	MvSl-1064-A1-R4_MC15g12029	MvSl-1064-A1-R4_MC15	Chr15	64738	66884	0.76039176248441
MvSl-1064-A1-R4_MC15g12082	Autosome	4	101.75	407	MvSl-1064-A2-R4_MC15g12331	4	101.75	407	0	0	0	MvSl-1064-A1-R4_MC15g12082	MvSl-1064-A1-R4_MC15	Chr15	214376	215732	1.790837885479
